code,slug,name,province,region,kind,website,source_url,groups,tuition_display,address,name_en
HEH,hoc-vien-hau-can-he-dan-su,Học Viện Hậu Cần - Hệ Dân sự,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-hau-can-he-dan-su/,{},,,
TGH,truong-si-quan-tang-thiet-giap,Trường Sĩ  Quan Tăng – Thiết Giáp,Vĩnh Phúc,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-tang-thiet-giap/,{},,,
DCL,ai-hoc-cuu-long,Đại Học Cửu Long,Vĩnh Long,Nam,DaiHoc,http://tuyensinh.mku.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cuu-long/,{},,,
NQH,hoc-vien-khoa-hoc-quan-su-he-dan-su,Học Viện Khoa Học Quân Sự - Hệ Dân sự,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-khoa-hoc-quan-su-he-dan-su/,{},,,
SKD,ai-hoc-san-khau-ien-anh,Đại Học Sân Khấu Điện Ảnh,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-san-khau-dien-anh/,{},,,
DSD,ai-hoc-san-khau-ien-anh-tphcm,"Đại Học Sân Khấu, Điện Ảnh TPHCM",Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-san-khau-dien-anh-tphcm/,{},,,
KQH,hoc-vien-ki-thuat-quan-su-he-dan-su,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ki-thuat-quan-su-he-dan-su/,{},,,
MTU,ai-hoc-xay-dung-mien-tay,Đại Học Xây Dựng Miền Tây,Vĩnh Long,Nam,DaiHoc,http://mtu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-xay-dung-mien-tay/,{},,,
ZNH,ai-hoc-van-hoa-nghe-thuat-quan-oi,Đại Học Văn Hóa – Nghệ Thuật Quân Đội,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-van-hoa-nghe-thuat-quan-doi/,{},,,
XDT,ai-hoc-xay-dung-mien-trung,Đại Học Xây Dựng Miền Trung,Phú Yên,Trung,DaiHoc,http://tuyensinh.muce.edu.vn/home/noidung,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-xay-dung-mien-trung/,{},,,
MIT,ai-hoc-cong-nghe-mien-ong,Đại học Công nghệ Miền Đông,Đồng Nai,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-mien-dong/,{},,,
CEA,ai-hoc-kinh-te-nghe-an,Đại học Kinh Tế Nghệ An,Nghệ An,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-nghe-an/,{},,,
HVQ,hoc-vien-quan-ly-giao-duc,Học Viện Quản Lý Giáo Dục,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-quan-ly-giao-duc/,{},,,
HCH,hoc-vien-hanh-chinh-quoc-gia-phia-bac,Học Viện Hành Chính Quốc Gia (phía Bắc),Hà Nội,Bac,DaiHoc,www.napa.vn,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-hanh-chinh-quoc-gia-phia-bac/,{},,,
HCS,hoc-vien-hanh-chinh-quoc-gia-phia-nam,Học Viện Hành Chính Quốc Gia (phía Nam),TP HCM,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-hanh-chinh-quoc-gia-phia-nam/,{},,,
DNC,ai-hoc-nam-can-tho,Đại học Nam Cần Thơ,Cần Thơ,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nam-can-tho/,{},,,
YDD,ai-hoc-ieu-duong-nam-inh,Đại Học Điều Dưỡng Nam Định,Nam Định,Bac,DaiHoc,https://ndun.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dieu-duong-nam-dinh/,{},,,
KHA,ai-hoc-kinh-te-quoc-dan,Đại Học Kinh Tế Quốc Dân,Hà Nội,Bac,DaiHoc,https://www.neu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-quoc-dan/,"{""Kinh tế - Quản trị""}",16 - 22 triệu/năm,"207 Giải Phóng, Hà Nội",National Economics University
LBH,truong-si-quan-luc-quan-2-ai-hoc-nguyen-hue,Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,Đồng Nai,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-luc-quan-2-dai-hoc-nguyen-hue/,{},,,
NLG,phan-hieu-ai-hoc-nong-lam-tp-hcm-tai-gia-lai,Phân hiệu Đại học Nông Lâm TP. HCM tại Gia Lai,Gia Lai,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/phan-hieu-dai-hoc-nong-lam-tp-hcm-tai-gia-lai/,{},,,
NLS,phan-hieu-ai-hoc-nong-lam-tp-hcm-tai-ninh-thuan,Phân hiệu Đại học Nông Lâm TP. HCM tại Ninh Thuận,TP HCM,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/phan-hieu-dai-hoc-nong-lam-tp-hcm-tai-ninh-thuan/,{},,,
