code,slug,name,province,region,kind,website,source_url,groups,tuition_display,address,name_en
PKA,ai-hoc-phenikaa,Đại Học Phenikaa,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-phenikaa/,{},,,
DTN,ai-hoc-nong-lam-ai-hoc-thai-nguyen,Đại Học Nông Lâm – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nong-lam-dai-hoc-thai-nguyen/,{},,,
DVD,ai-hoc-van-hoa-the-thao-va-du-lich-thanh-hoa,"Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",Thanh Hóa,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-van-hoa-the-thao-va-du-lich-thanh-hoa/,{},,,
DTS,ai-hoc-su-pham-ai-hoc-thai-nguyen,Đại Học Sư Phạm – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-dai-hoc-thai-nguyen/,{},,,
DTE,ai-hoc-kinh-te-quan-tri-kinh-doanh-ai-hoc-thai-nguyen,Đại Học Kinh Tế  & Quản Trị Kinh Doanh – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-quan-tri-kinh-doanh-dai-hoc-thai-nguyen/,{},,,
DTY,ai-hoc-y-duoc-ai-hoc-thai-nguyen,Đại Học Y Dược – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-dai-hoc-thai-nguyen/,{},,,
LDA,ai-hoc-cong-oan,Đại Học Công Đoàn,Hà Nội,Bac,DaiHoc,http://www.dhcd.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-doan/,{},,,
DVP,ai-hoc-trung-vuong,Đại Học Trưng Vương,Vĩnh Phúc,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-trung-vuong/,{},,,
DVT,ai-hoc-tra-vinh,Đại Học Trà Vinh,Trà Vinh,Nam,DaiHoc,https://www.tvu.edu.vn/xet-tuyen-dai-hoc-cao-dang-chinh-quy-2021/#cac_nganh_dh_cd_2021_dhtv,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tra-vinh/,{},,,
KTS,ai-hoc-kien-truc-tphcm,Đại Học Kiến Trúc TPHCM,TP HCM,Nam,DaiHoc,http://www.uah.edu.vn/router/thong-tin-tuyen-sinh--442.html,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-tphcm/,{},,,
DDG,khoa-giao-duc-the-chat-ai-hoc-a-nang,Khoa Giáo dục thể chất - Đại học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/khoa-giao-duc-the-chat-dai-hoc-da-nang/,{},,,
VKU,vku-ai-hoc-cong-nghe-thong-tin-va-truyen-thong-viet-han-ai-hoc-a-nang,VKU - Đại học Công Nghệ Thông Tin và truyền thông Việt - Hàn – Đại Học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,http://vku.udn.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-viet-han-dai-hoc-da-nang/,{},,,
DDI,vku-khoa-cong-nghe-ai-hoc-a-nang,VKU - Khoa Công Nghệ – Đại Học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/khoa-cong-nghe-dai-hoc-da-nang/,{},,,
DDP,phan-hieu-ai-hoc-a-nang-tai-kon-tum,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,Kon Tum,Trung,DaiHoc,http://ts.kontum.udn.vn,https://huongnghiep.hocmai.vn/diem-truong/phan-hieu-dai-hoc-da-nang-tai-kon-tum/,{},,,
DDS,ai-hoc-su-pham-ai-hoc-a-nang,Đại Học Sư Phạm – Đại Học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,https://tuyensinh.ued.udn.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-dai-hoc-da-nang/,{},,,
KTC,ai-hoc-kinh-te-tai-chinh-tphcm,Đại Học Kinh Tế -Tài chính TPHCM,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-tai-chinh-tphcm/,{},,,
KSA,ai-hoc-kinh-te-tphcm,Đại Học Kinh Tế TPHCM,TP HCM,Nam,DaiHoc,https://tuyensinh.ueh.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-tphcm/,"{""Kinh tế - Quản trị""}",22 - 30 triệu/năm,"59C Nguyễn Đình Chiểu, TP.HCM",University of Economics Ho Chi Minh City
QHI,ai-hoc-cong-nghe-ai-hoc-quoc-gia-ha-noi,Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,https://tuyensinh.uet.vnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi/,"{""Kỹ thuật - Công nghệ""}",Dưới 25 triệu/năm,"144 Xuân Thủy, Hà Nội",VNU University of Engineering and Technology
DKQ,ai-hoc-tai-chinh-ke-toan,Đại học Tài Chính Kế Toán,Quảng Ngãi,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tai-chinh-ke-toan/,{},,,
DFA,ai-hoc-tai-chinh-quan-tri-kinh-doanh,Đại học Tài Chính – Quản Trị Kinh Doanh,Hưng Yên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tai-chinh-quan-tri-kinh-doanh/,{},,,
DHF,ai-hoc-ngoai-ngu-ai-hoc-hue,Đại Học Ngoại Ngữ – Đại Học Huế,Huế,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-ngu-dai-hoc-hue/,{},,,
DDF,ai-hoc-ngoai-ngu-ai-hoc-a-nang,Đại Học Ngoại Ngữ – Đại Học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,http://tuyensinh.ufl.udn.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-ngu-dai-hoc-da-nang/,{},,,
DMS,ai-hoc-tai-chinh-marketing,Đại Học Tài Chính Marketing,TP HCM,Nam,DaiHoc,https://tuyensinh.ufm.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tai-chinh-marketing/,{},,,
DKT,ai-hoc-hai-duong,Đại Học Hải Dương,Hải Dương,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hai-duong/,{},,,
MTC,ai-hoc-my-thuat-cong-nghiep,Đại Học Mỹ Thuật Công Nghiệp,Hà Nội,Bac,DaiHoc,http://mythuatcongnghiep.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-cong-nghiep/,{},,,
UKB,ai-hoc-kinh-bac,Đại Học Kinh Bắc,Bắc Ninh,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-bac/,{},,,
UKH,ai-hoc-khanh-hoa,Đại học Khánh Hòa,Khánh Hòa,Trung,DaiHoc,http://ukh.edu.vn/vi-vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khanh-hoa/,{},,,
DHA,ai-hoc-luat-ai-hoc-hue,Đại Học Luật - Đại Học Huế,Huế,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-luat-dai-hoc-hue/,{},,,
QHF,ai-hoc-ngoai-ngu-ai-hoc-quoc-gia-ha-noi,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://ulis.vnu.edu.vn/tuyensinh2021/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-ngu-dai-hoc-quoc-gia-ha-noi/,"{""Ngoại ngữ""}",Dưới 25 triệu/năm,"2 Phạm Văn Đồng, Hà Nội",VNU University of Languages and International Studies
DLX,ai-hoc-lao-ong-xa-hoi-co-so-ha-noi,Đại Học Lao Động – Xã Hội (Cơ sở Hà Nội),Hà Nội,Bac,DaiHoc,http://ulsa.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-lao-dong-xa-hoi-co-so-ha-noi/,{},,,
DLS,ai-hoc-lao-ong-xa-hoi-co-so-phia-nam,Đại Học Lao Động – Xã Hội (Cơ sở phía Nam),TP HCM,Nam,DaiHoc,http://www.ldxh.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-lao-dong-xa-hoi-co-so-phia-nam/,{},,,
YDS,ai-hoc-y-duoc-tphcm,Đại Học Y Dược TPHCM,TP HCM,Nam,DaiHoc,https://ump.edu.vn/tuyen-sinh-dao-tao/dai-hoc/tuyen-sinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-tphcm/,{},,,
UMT,ai-hoc-quan-ly-va-cong-nghe-tphcm,Đại học Quản lý và Công nghệ TPHCM,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quan-ly-va-cong-nghe-tphcm/,{},,,
DKK,ai-hoc-kinh-te-ky-thuat-cong-nghiep,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Hà Nội,Bac,DaiHoc,https://uneti.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-ky-thuat-cong-nghiep/,{},,,
STS,ai-hoc-su-pham-the-ducthe-thao-tphcm,Đại Học Sư Phạm Thể DụcThể Thao TPHCM,TP HCM,Nam,DaiHoc,http://www.upes.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-the-ducthe-thao-tphcm/,{},,,
DPT,ai-hoc-phan-thiet,Đại Học Phan Thiết,Bình Thuận,Trung,DaiHoc,http://ts.upt.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-phan-thiet/,{},,,
KCN,ai-hoc-khoa-hoc-va-cong-nghe-ha-noi,Đại Học Khoa Học Và Công Nghệ Hà Nội,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi/,{},,,
TTB,ai-hoc-tay-bac,Đại Học Tây Bắc,Sơn La,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tay-bac/,{},,,
GHA,ai-hoc-giao-thong-van-tai-co-so-phia-bac,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),Hà Nội,Bac,DaiHoc,http://tuyensinh.utc.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-co-so-phia-bac/,{},,,
GSA,ai-hoc-giao-thong-van-tai-co-so-phia-nam,Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),TP HCM,Nam,DaiHoc,http://tuyensinh.utc2.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-co-so-phia-nam/,{},,,
DSK,ai-hoc-su-pham-ky-thuat-ai-hoc-a-nang,Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,https://tuyensinh.ute.udn.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-dai-hoc-da-nang/,{},,,
SKH,ai-hoc-su-pham-ky-thuat-hung-yen,Đại Học Sư Phạm Kỹ Thuật Hưng Yên,Hưng Yên,Bac,DaiHoc,http://www.utehy.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-hung-yen/,{},,,
GTS,hcmc-ai-hoc-giao-thong-van-tai-tphcm,HCMC - Đại Học Giao Thông Vận Tải TPHCM,TP HCM,Nam,DaiHoc,tuyensinh.ut.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-tphcm/,{},,,
DCQ,ai-hoc-cong-nghe-va-quan-ly-huu-nghi,Đại Học Công Nghệ và Quản Lý Hữu Nghị,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-va-quan-ly-huu-nghi/,{},,,
GTA,ai-hoc-cong-nghe-giao-thong-van-tai,Đại học Công nghệ Giao thông vận tải,Hà Nội,Bac,DaiHoc,https://utt.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-giao-thong-van-tai/,{},,,
HHK,hoc-vien-hang-khong-viet-nam,Học Viện Hàng Không Việt Nam,TP HCM,Nam,DaiHoc,https://vaa.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-hang-khong-viet-nam/,{},,,
DVB,ai-hoc-kinh-te-cong-nghe-thai-nguyen,Đại học Kinh tế - Công nghệ Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-cong-nghe-thai-nguyen/,{},,,
HTA,hoc-vien-toa-an,Học viện Tòa án,Hà Nội,Bac,DaiHoc,http://hvta.toaan.gov.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-toa-an/,{},,,
VGU,ai-hoc-viet-uc,Đại Học Việt Đức,Bình Dương,Nam,DaiHoc,https://vgu.edu.vn/vi/home,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-viet-duc/,{},,,
DVH,ai-hoc-van-hien,Đại Học Văn Hiến,TP HCM,Nam,DaiHoc,https://ts.vhu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-van-hien/,{},,,
VHD,ai-hoc-cong-nghiep-viet-hung,Đại Học Công Nghiệp Việt Hung,Hà Nội,Bac,DaiHoc,http://www.viu.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-viet-hung/,{},,,
QHJ,ai-hoc-viet-nhat-h-quoc-gia-ha-noi,Đại học Việt Nhật - ĐH Quốc gia Hà Nội,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-viet-nhat-dh-quoc-gia-ha-noi/,{},,,
DVL,ai-hoc-dan-lap-van-lang,Đại Học Dân Lập Văn Lang,TP HCM,Nam,DaiHoc,https://tuyensinh.vanlanguni.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-van-lang/,{},,,
VLU,ai-hoc-su-pham-ky-thuat-vinh-long,Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,Vĩnh Long,Nam,DaiHoc,http://vlute.edu.vn/vi/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-vinh-long/,{},,,
YQH,hoc-vien-quan-y-he-dan-su,Học Viện Quân Y - Hệ Dân sự,Hà Nội,Bac,DaiHoc,http://hocvienquany.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-quan-y-he-dan-su/,{},,,
HHA,ai-hoc-hang-hai,Đại Học Hàng Hải,Hải Phòng,Bac,DaiHoc,http://tuyensinh.vimaru.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hang-hai/,{},,,
YKV,ai-hoc-y-khoa-vinh,Đại Học Y Khoa Vinh,Nghệ An,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-khoa-vinh/,{},,,
NVH,hoc-vien-am-nhac-quoc-gia-viet-nam,Học Viện Âm Nhạc Quốc Gia Việt Nam,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-am-nhac-quoc-gia-viet-nam/,{},,,
QHQ,is-truong-quoc-te-ai-hoc-quoc-gia-ha-noi,IS - Trường Quốc Tế – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://www.is.vnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/truong-quoc-te-dai-hoc-quoc-gia-ha-noi/,{},,,
QHY,smp-ai-hoc-y-duoc-ai-hoc-quoc-gia-ha-noi,SMP - Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://ump.vnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-dai-hoc-quoc-gia-ha-noi/,{},,,
QHE,ueb-ai-hoc-kinh-te-ai-hoc-quoc-gia-ha-noi,UEB - Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://tuyensinhdaihoc.ueb.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-dai-hoc-quoc-gia-ha-noi/,{},,,
QHS,ued-ai-hoc-giao-duc-ai-hoc-quoc-gia-ha-noi,UED - Đại Học Giáo Dục - Đại học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://www.education.vnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-duc-dai-hoc-quoc-gia-ha-noi/,{},,,
QHL,ul-ai-hoc-luat-ai-hoc-quoc-gia-ha-noi,UL - Đại Học Luật – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://law.vnu.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-luat-dai-hoc-quoc-gia-ha-noi/,{},,,
HVN,hoc-vien-nong-nghiep-viet-nam,Học Viện Nông Nghiệp Việt Nam,Hà Nội,Bac,DaiHoc,http://tuyensinh.vnua.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-nong-nghiep-viet-nam/,{},,,
LNH,ai-hoc-lam-nghiep-co-so-1,Đại Học Lâm Nghiệp ( Cơ sở 1 ),Hà Nội,Bac,DaiHoc,http://tuyensinh.vnuf.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-lam-nghiep-co-so-1/,{},,,
LNS,ai-hoc-lam-nghiep-co-so-2-phan-hieu-ong-nai,Đại Học Lâm Nghiệp (Cơ sở 2) - Phân hiệu Đồng Nai,Đồng Nai,Nam,DaiHoc,http://tuyensinh.vnuf.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-lam-nghiep-co-so-2-phan-hieu-dong-nai/,{},,,
LNA,ai-hoc-lam-nghiep-co-so-3-phan-hieu-gia-lai,Đại Học Lâm Nghiệp (Cơ sở 3) - Phân hiệu Gia Lai,Gia Lai,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-lam-nghiep-co-so-3-phan-hieu-gia-lai/,{},,,
QSP,phan-hieu-ai-hoc-quoc-gia-tp-hcm-tai-ben-tre,Phân hiệu Đại học Quốc gia TP.HCM tại Bến Tre,Bến Tre,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/phan-hieu-dai-hoc-quoc-gia-tp-hcm-tai-ben-tre/,{},,,
QSK,uel-ai-hoc-kinh-te-luat-ai-hoc-quoc-gia-tphcm,UEL - Đại học Kinh Tế – Luật – Đại Học Quốc Gia TPHCM,TP HCM,Nam,DaiHoc,https://tuyensinh.uel.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-luat-dai-hoc-quoc-gia-tphcm/,{},,,
QSC,uit-ai-hoc-cong-nghe-thong-tin-ai-hoc-quoc-gia-tphcm,UIT - Đại Học Công Nghệ Thông Tin – Đại Học Quốc Gia TPHCM,TP HCM,Nam,DaiHoc,https://tuyensinh.uit.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-thong-tin-dai-hoc-quoc-gia-tphcm/,{},,,
QST,ai-hoc-khoa-hoc-tu-nhien-ai-hoc-quoc-gia-tphcm,Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM,TP HCM,Nam,DaiHoc,https://tuyensinh.hcmus.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-tphcm/,{},,,
QSX,ussh-ai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ai-hoc-quoc-gia-tphcm,USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM,TP HCM,Nam,DaiHoc,https://hcmussh.edu.vn/tuyensinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tphcm/,{},,,
QSB,ut-ai-hoc-bach-khoa-ai-hoc-quoc-gia-tphcm,UT - Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM,TP HCM,Nam,DaiHoc,http://tuyensinh.hcmut.edu.vn/admission/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tphcm/,"{""Kỹ thuật - Công nghệ""}",27 - 32 triệu/năm,"268 Lý Thường Kiệt, TP.HCM",HCMUT - VNUHCM
QHT,hus-ai-hoc-khoa-hoc-tu-nhien-ai-hoc-quoc-gia-ha-noi,HUS - Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://tuyensinh.hus.vnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi/,{},,,
DDV,vien-nghien-cuu-va-ao-tao-viet-anh-ai-hoc-a-nang,Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,www.tuyensinhvnuk.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang/,{},,,
QHK,sis-khoa-cac-khoa-hoc-lien-nganh-h-quoc-gia-ha-noi,SIS - Khoa các khoa học liên ngành - ĐH Quốc gia Hà Nội,Hà Nội,Bac,DaiHoc,https://sis.vnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/khoa-cac-khoa-hoc-lien-nganh-dh-quoc-gia-ha-noi/,{},,,
QHX,ussh-ai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ai-hoc-quoc-gia-ha-noi,USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội,Hà Nội,Bac,DaiHoc,http://tuyensinh.ussh.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi/,{},,,
ANS,ai-hoc-an-ninh-nhan-dan,Đại Học An Ninh Nhân Dân,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-ninh-nhan-dan/,{},,,
VTT,ai-hoc-vo-truong-toan,Đại Học Võ Trường Toản,Hậu Giang,Nam,DaiHoc,www.vttu.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vo-truong-toan/,{},,,
TDV,ai-hoc-vinh,Đại Học Vinh,Nghệ An,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,{},,,
MTH,ai-hoc-my-thuat-viet-nam,Đại Học Mỹ Thuật Việt Nam,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-viet-nam/,{},,,
VUI,ai-hoc-cong-nghiep-viet-tri,Đại Học Công Nghiệp Việt Trì,Phú Thọ,Bac,DaiHoc,http://www.vui.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-viet-tri/,{},,,
SKV,ai-hoc-su-pham-ky-thuat-vinh,Đại Học Sư Phạm Kỹ Thuật Vinh,Nghệ An,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-vinh/,{},,,
HYD,hoc-vien-y-duoc-hoc-co-truyen-viet-nam,Học Viện Y Dược Học Cổ Truyền Việt Nam,Hà Nội,Bac,DaiHoc,http://vutm.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-y-duoc-hoc-co-truyen-viet-nam/,{},,,
HPN,hoc-vien-phu-nu-viet-nam,Học Viện Phụ Nữ Việt Nam,Hà Nội,Bac,DaiHoc,http://hvpnvn.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-phu-nu-viet-nam/,{},,,
DVX,ai-hoc-cong-nghe-van-xuan,Đại Học Công Nghệ Vạn Xuân,Nghệ An,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-van-xuan/,{},,,
HTN,hoc-vien-thanh-thieu-nien-viet-nam,Học Viện Thanh Thiếu Niên Việt Nam,Hà Nội,Bac,DaiHoc,https://tuyensinhvya.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-thanh-thieu-nien-viet-nam/,{},,,
DYD,ai-hoc-yersin-a-lat,Đại Học Yersin Đà Lạt,Lâm Đồng,Trung,DaiHoc,https://yersin.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-yersin-da-lat/,{},,,
C19,truong-cao-ang-su-pham-bac-ninh,Trường Cao Đẳng Sư Phạm Bắc Ninh,Bắc Ninh,Bac,DaiHoc,,,{},,,
C54,truong-cao-ang-su-pham-kien-giang,Trường Cao Đẳng Sư Phạm Kiên Giang,Kiên Giang,Nam,DaiHoc,,,{},,,
CBM,truong-cao-ang-y-te-bach-mai,Trường Cao Đẳng Y Tế Bạch Mai,Hà Nội,Bac,DaiHoc,,,{},,,
CDD0212,truong-cao-ang-kinh-te-tphcm,Trường Cao Đẳng Kinh Tế TPHCM,TP. Hồ Chí Minh,Nam,DaiHoc,,,{},,,
CDD0408,truong-cao-ang-cong-nghe-y-duoc-viet-nam,Trường Cao đẳng Công Nghệ Y- Dược Việt Nam,Đà Nẵng,Trung,DaiHoc,,,{},,,
CDH,truong-cao-ang-du-lich-ha-noi,Trường Cao Đẳng Du Lịch Hà Nội,Hà Nội,Bac,DaiHoc,,,{},,,
CDT0209,truong-cao-ang-kinh-te-oi-ngoai,Trường Cao Đẳng Kinh Tế Đối Ngoại,TP. Hồ Chí Minh,Nam,DaiHoc,,,{},,,
CES,truong-cao-ang-cong-thuong-tphcm,Trường Cao Đẳng Công Thương TPHCM,TP. Hồ Chí Minh,Nam,DaiHoc,,,{},,,
CKC,truong-cao-ang-ky-thuat-cao-thang,Trường Cao Đẳng Kỹ Thuật Cao Thắng,TP. Hồ Chí Minh,Nam,DaiHoc,,,{},,,
CM3,truong-cao-ang-su-pham-trung-uong-tphcm,Trường Cao Đẳng Sư Phạm Trung Ương TPHCM,TP. Hồ Chí Minh,Nam,DaiHoc,,,{},,,
CNT,truong-cao-ang-nghe-thuat-ha-noi,Trường Cao Đẳng Nghệ Thuật Hà Nội,Hà Nội,Bac,DaiHoc,,,{},,,
CYA,truong-cao-ang-y-te-ong-thap,Trường Cao Đẳng Y Tế Đồng Tháp,Đồng Tháp,Nam,DaiHoc,,,{},,,
CYC,truong-cao-ang-y-te-can-tho,Trường Cao Đẳng Y Tế Cần Thơ,Cần Thơ,Nam,DaiHoc,,,{},,,
DDU,truong-ai-hoc-ong-o,Trường Đại Học Đông Đô,Hà Nội,Bac,DaiHoc,,,{},,,
DNH,hoc-vien-khoa-hoc-quan-su-he-dan-su-dnh,Học Viện Khoa Học Quân Sự - Hệ Dân sự,Hà Nội,Bac,DaiHoc,,,{},,,
