ky_thi,nam,to_hop,tinh,tinh_new,chuong_trinh,diem,count
THPTQG,2024,A00,01,01,,6.4,1
THPTQG,2024,A00,01,01,,6.95,1
THPTQG,2024,A00,01,01,,7.2,1
THPTQG,2024,A00,01,01,,7.3,1
THPTQG,2024,A00,01,01,,7.35,1
THPTQG,2024,A00,01,01,,7.95,1
THPTQG,2024,A00,01,01,,8.0,1
THPTQG,2024,A00,01,01,,8.1,1
THPTQG,2024,A00,01,01,,8.25,2
THPTQG,2024,A00,01,01,,8.3,1
THPTQG,2024,A00,01,01,,8.5,2
THPTQG,2024,A00,01,01,,8.6,3
THPTQG,2024,A00,01,01,,8.65,1
THPTQG,2024,A00,01,01,,8.7,2
THPTQG,2024,A00,01,01,,8.75,1
THPTQG,2024,A00,01,01,,8.8,1
THPTQG,2024,A00,01,01,,8.85,1
THPTQG,2024,A00,01,01,,8.9,1
THPTQG,2024,A00,01,01,,9.05,1
THPTQG,2024,A00,01,01,,9.1,1
THPTQG,2024,A00,01,01,,9.15,2
THPTQG,2024,A00,01,01,,9.2,1
THPTQG,2024,A00,01,01,,9.25,2
THPTQG,2024,A00,01,01,,9.45,3
THPTQG,2024,A00,01,01,,9.5,1
THPTQG,2024,A00,01,01,,9.55,1
THPTQG,2024,A00,01,01,,9.6,1
THPTQG,2024,A00,01,01,,9.7,1
THPTQG,2024,A00,01,01,,9.8,2
THPTQG,2024,A00,01,01,,9.85,1
THPTQG,2024,A00,01,01,,9.9,2
THPTQG,2024,A00,01,01,,9.95,4
THPTQG,2024,A00,01,01,,10.0,1
THPTQG,2024,A00,01,01,,10.05,2
THPTQG,2024,A00,01,01,,10.15,2
THPTQG,2024,A00,01,01,,10.2,4
THPTQG,2024,A00,01,01,,10.25,3
THPTQG,2024,A00,01,01,,10.3,2
THPTQG,2024,A00,01,01,,10.35,3
THPTQG,2024,A00,01,01,,10.4,2
THPTQG,2024,A00,01,01,,10.45,3
THPTQG,2024,A00,01,01,,10.5,4
THPTQG,2024,A00,01,01,,10.55,2
THPTQG,2024,A00,01,01,,10.6,3
THPTQG,2024,A00,01,01,,10.65,1
THPTQG,2024,A00,01,01,,10.7,3
THPTQG,2024,A00,01,01,,10.75,4
THPTQG,2024,A00,01,01,,10.8,3
THPTQG,2024,A00,01,01,,10.85,1
THPTQG,2024,A00,01,01,,10.9,3
THPTQG,2024,A00,01,01,,10.95,8
THPTQG,2024,A00,01,01,,11.0,4
THPTQG,2024,A00,01,01,,11.05,2
THPTQG,2024,A00,01,01,,11.1,7
THPTQG,2024,A00,01,01,,11.15,5
THPTQG,2024,A00,01,01,,11.2,4
THPTQG,2024,A00,01,01,,11.25,3
THPTQG,2024,A00,01,01,,11.3,5
THPTQG,2024,A00,01,01,,11.35,10
THPTQG,2024,A00,01,01,,11.4,8
THPTQG,2024,A00,01,01,,11.45,5
THPTQG,2024,A00,01,01,,11.5,3
THPTQG,2024,A00,01,01,,11.55,5
THPTQG,2024,A00,01,01,,11.6,7
THPTQG,2024,A00,01,01,,11.65,8
THPTQG,2024,A00,01,01,,11.7,5
THPTQG,2024,A00,01,01,,11.75,6
THPTQG,2024,A00,01,01,,11.8,7
THPTQG,2024,A00,01,01,,11.85,7
THPTQG,2024,A00,01,01,,11.9,11
THPTQG,2024,A00,01,01,,11.95,10
THPTQG,2024,A00,01,01,,12.0,6
THPTQG,2024,A00,01,01,,12.05,5
THPTQG,2024,A00,01,01,,12.1,5
THPTQG,2024,A00,01,01,,12.15,10
THPTQG,2024,A00,01,01,,12.2,12
THPTQG,2024,A00,01,01,,12.25,10
THPTQG,2024,A00,01,01,,12.3,9
THPTQG,2024,A00,01,01,,12.35,17
THPTQG,2024,A00,01,01,,12.4,12
THPTQG,2024,A00,01,01,,12.45,7
THPTQG,2024,A00,01,01,,12.5,9
THPTQG,2024,A00,01,01,,12.55,14
THPTQG,2024,A00,01,01,,12.6,11
THPTQG,2024,A00,01,01,,12.65,10
THPTQG,2024,A00,01,01,,12.7,9
THPTQG,2024,A00,01,01,,12.75,14
THPTQG,2024,A00,01,01,,12.8,15
THPTQG,2024,A00,01,01,,12.85,17
THPTQG,2024,A00,01,01,,12.9,16
THPTQG,2024,A00,01,01,,12.95,14
THPTQG,2024,A00,01,01,,13.0,17
THPTQG,2024,A00,01,01,,13.05,9
THPTQG,2024,A00,01,01,,13.1,25
THPTQG,2024,A00,01,01,,13.15,15
THPTQG,2024,A00,01,01,,13.2,16
THPTQG,2024,A00,01,01,,13.25,18
THPTQG,2024,A00,01,01,,13.3,11
THPTQG,2024,A00,01,01,,13.35,22
THPTQG,2024,A00,01,01,,13.4,20
THPTQG,2024,A00,01,01,,13.45,14
THPTQG,2024,A00,01,01,,13.5,17
THPTQG,2024,A00,01,01,,13.55,22
THPTQG,2024,A00,01,01,,13.6,18
THPTQG,2024,A00,01,01,,13.65,22
THPTQG,2024,A00,01,01,,13.7,29
THPTQG,2024,A00,01,01,,13.75,15
THPTQG,2024,A00,01,01,,13.8,21
THPTQG,2024,A00,01,01,,13.85,30
THPTQG,2024,A00,01,01,,13.9,26
THPTQG,2024,A00,01,01,,13.95,23
THPTQG,2024,A00,01,01,,14.0,24
THPTQG,2024,A00,01,01,,14.05,26
THPTQG,2024,A00,01,01,,14.1,26
THPTQG,2024,A00,01,01,,14.15,27
THPTQG,2024,A00,01,01,,14.2,34
THPTQG,2024,A00,01,01,,14.25,26
THPTQG,2024,A00,01,01,,14.3,29
THPTQG,2024,A00,01,01,,14.35,35
THPTQG,2024,A00,01,01,,14.4,32
THPTQG,2024,A00,01,01,,14.45,33
THPTQG,2024,A00,01,01,,14.5,33
THPTQG,2024,A00,01,01,,14.55,30
THPTQG,2024,A00,01,01,,14.6,32
THPTQG,2024,A00,01,01,,14.65,24
THPTQG,2024,A00,01,01,,14.7,28
THPTQG,2024,A00,01,01,,14.75,29
THPTQG,2024,A00,01,01,,14.8,41
THPTQG,2024,A00,01,01,,14.85,32
THPTQG,2024,A00,01,01,,14.9,33
THPTQG,2024,A00,01,01,,14.95,45
THPTQG,2024,A00,01,01,,15.0,44
THPTQG,2024,A00,01,01,,15.05,37
THPTQG,2024,A00,01,01,,15.1,37
THPTQG,2024,A00,01,01,,15.15,35
THPTQG,2024,A00,01,01,,15.2,45
THPTQG,2024,A00,01,01,,15.25,43
THPTQG,2024,A00,01,01,,15.3,36
THPTQG,2024,A00,01,01,,15.35,38
