ky_thi,nam,to_hop,tinh,tinh_new,chuong_trinh,diem,count
THPTQG,2023,A00,01,01,,6.1,1
THPTQG,2023,A00,01,01,,6.35,1
THPTQG,2023,A00,01,01,,7.05,1
THPTQG,2023,A00,01,01,,7.4,1
THPTQG,2023,A00,01,01,,7.7,1
THPTQG,2023,A00,01,01,,7.75,3
THPTQG,2023,A00,01,01,,8.0,1
THPTQG,2023,A00,01,01,,8.05,2
THPTQG,2023,A00,01,01,,8.25,2
THPTQG,2023,A00,01,01,,8.3,1
THPTQG,2023,A00,01,01,,8.35,1
THPTQG,2023,A00,01,01,,8.4,1
THPTQG,2023,A00,01,01,,8.45,1
THPTQG,2023,A00,01,01,,8.5,1
THPTQG,2023,A00,01,01,,8.55,1
THPTQG,2023,A00,01,01,,8.65,1
THPTQG,2023,A00,01,01,,8.75,2
THPTQG,2023,A00,01,01,,8.8,2
THPTQG,2023,A00,01,01,,8.9,2
THPTQG,2023,A00,01,01,,9.1,1
THPTQG,2023,A00,01,01,,9.2,1
THPTQG,2023,A00,01,01,,9.25,2
THPTQG,2023,A00,01,01,,9.3,4
THPTQG,2023,A00,01,01,,9.45,2
THPTQG,2023,A00,01,01,,9.6,2
THPTQG,2023,A00,01,01,,9.7,1
THPTQG,2023,A00,01,01,,9.75,1
THPTQG,2023,A00,01,01,,9.8,4
THPTQG,2023,A00,01,01,,9.9,3
THPTQG,2023,A00,01,01,,9.95,3
THPTQG,2023,A00,01,01,,10.05,5
THPTQG,2023,A00,01,01,,10.15,1
THPTQG,2023,A00,01,01,,10.2,3
THPTQG,2023,A00,01,01,,10.25,1
THPTQG,2023,A00,01,01,,10.3,3
THPTQG,2023,A00,01,01,,10.35,1
THPTQG,2023,A00,01,01,,10.4,3
THPTQG,2023,A00,01,01,,10.45,2
THPTQG,2023,A00,01,01,,10.55,2
THPTQG,2023,A00,01,01,,10.6,3
THPTQG,2023,A00,01,01,,10.65,3
THPTQG,2023,A00,01,01,,10.7,3
THPTQG,2023,A00,01,01,,10.75,1
THPTQG,2023,A00,01,01,,10.8,2
THPTQG,2023,A00,01,01,,10.85,5
THPTQG,2023,A00,01,01,,10.9,1
THPTQG,2023,A00,01,01,,10.95,3
THPTQG,2023,A00,01,01,,11.0,4
THPTQG,2023,A00,01,01,,11.05,4
THPTQG,2023,A00,01,01,,11.1,1
THPTQG,2023,A00,01,01,,11.15,5
THPTQG,2023,A00,01,01,,11.2,1
THPTQG,2023,A00,01,01,,11.25,2
THPTQG,2023,A00,01,01,,11.3,2
THPTQG,2023,A00,01,01,,11.35,3
THPTQG,2023,A00,01,01,,11.4,7
THPTQG,2023,A00,01,01,,11.45,3
THPTQG,2023,A00,01,01,,11.5,1
THPTQG,2023,A00,01,01,,11.55,5
THPTQG,2023,A00,01,01,,11.6,4
THPTQG,2023,A00,01,01,,11.65,2
THPTQG,2023,A00,01,01,,11.7,3
THPTQG,2023,A00,01,01,,11.75,5
THPTQG,2023,A00,01,01,,11.8,4
THPTQG,2023,A00,01,01,,11.85,4
THPTQG,2023,A00,01,01,,11.9,7
THPTQG,2023,A00,01,01,,11.95,6
THPTQG,2023,A00,01,01,,12.0,5
THPTQG,2023,A00,01,01,,12.05,5
THPTQG,2023,A00,01,01,,12.1,5
THPTQG,2023,A00,01,01,,12.15,5
THPTQG,2023,A00,01,01,,12.2,6
THPTQG,2023,A00,01,01,,12.25,9
THPTQG,2023,A00,01,01,,12.3,2
THPTQG,2023,A00,01,01,,12.35,5
THPTQG,2023,A00,01,01,,12.4,11
THPTQG,2023,A00,01,01,,12.45,6
THPTQG,2023,A00,01,01,,12.5,8
THPTQG,2023,A00,01,01,,12.55,7
THPTQG,2023,A00,01,01,,12.6,7
THPTQG,2023,A00,01,01,,12.65,11
THPTQG,2023,A00,01,01,,12.7,6
THPTQG,2023,A00,01,01,,12.75,10
THPTQG,2023,A00,01,01,,12.8,8
THPTQG,2023,A00,01,01,,12.85,11
THPTQG,2023,A00,01,01,,12.9,15
THPTQG,2023,A00,01,01,,12.95,10
THPTQG,2023,A00,01,01,,13.0,16
THPTQG,2023,A00,01,01,,13.05,7
THPTQG,2023,A00,01,01,,13.1,9
THPTQG,2023,A00,01,01,,13.15,11
THPTQG,2023,A00,01,01,,13.2,6
THPTQG,2023,A00,01,01,,13.25,12
THPTQG,2023,A00,01,01,,13.3,11
THPTQG,2023,A00,01,01,,13.35,11
THPTQG,2023,A00,01,01,,13.4,10
THPTQG,2023,A00,01,01,,13.45,12
THPTQG,2023,A00,01,01,,13.5,11
THPTQG,2023,A00,01,01,,13.55,9
THPTQG,2023,A00,01,01,,13.6,16
THPTQG,2023,A00,01,01,,13.65,16
THPTQG,2023,A00,01,01,,13.7,14
