ma_truong,ma_nganh,ten_nganh,nam
ANH,7860100,Nghiệp vụ An ninh,2018
BKA,BF1,Kỹ thuật Sinh học,2018
BKA,BF2,Kỹ thuật Thực phẩm,2018
BKA,CH1,Kỹ thuật hoá học,2018
BKA,CH2,Hoá học,2018
BKA,CH3,Kỹ thuật in,2018
BKA,EE-E8,Điều khiển - Tự động hóa và Hệ thống điện,2018
BKA,EE1,Kỹ thuật điện,2018
BKA,EE2,Kỹ thuật Điều khiển - Tự động hóa,2018
BKA,EM-NU,Quản lý công nghiệp,2018
BKA,EM-VUW,Quản trị kinh doanh,2018
BKA,EM1,Kinh tế,2018
BKA,EM2,Quản lý công nghiệp,2018
BKA,EM3,Quản trị kinh doanh,2018
BKA,EM4,Kế toán,2018
BKA,EM5,Tài chính - Ngân hàng,2018
BKA,ET-E4,Điện tử viễn thông,2018
BKA,ET-E5,Kỹ thuật y sinh,2018
BKA,ET-LUH,Điện tử viễn thông,2018
BKA,ET1,Kỹ thuật điện tử - viễn thông,2018
BKA,EV1,Kỹ thuật môi trường,2018
BKA,FL1,Tiếng Anh Khoa học kỹ thuật và Công nghệ,2018
BKA,FL2,Tiếng Anh chuyên nghiệp quốc tế,2018
BKA,HE1,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),2018
BKA,IT-E6,Công nghệ thông tin,2018
BKA,IT-E7,Công nghệ thông tin,2018
BKA,IT-GINP,Hệ thống thông tin,2018
BKA,IT-LTU,Công nghệ thông tin,2018
BKA,IT-VUW,Công nghệ thông tin,2018
BKA,IT1,Khoa học máy tính,2018
BKA,IT2,Kỹ thuật máy tính,2018
BKA,ME-E1,Kỹ thuật cơ điện tử,2018
BKA,ME-GU,Cơ khí - Chế tạo máy,2018
BKA,ME-NUT,Cơ điện tử,2018
BKA,ME1,Kỹ thuật cơ điện tử,2018
BKA,ME2,Kỹ thuật cơ khí,2018
BKA,MI1,Khoa học máy tính,2018
BKA,MI2,Hệ thống thông tin quản lý,2018
BKA,MS-E3,Khoa học kỹ thuật Vật liệu,2018
BKA,MS1,Kỹ thuật vật liệu,2018
BKA,PH1,Vật lý kỹ thuật,2018
BKA,PH2,Kỹ thuật hạt nhân,2018
BKA,TE-E2,Kỹ thuật ô tô,2018
BKA,TE1,Kỹ thuật ô tô,2018
BKA,TE2,Kỹ thuật cơ khí,2018
BKA,TE3,Kỹ thuật Hàng không,2018
BKA,TE4,Kỹ thuật tàu thuỷ,2018
BKA,TROY-BA,Quản trị kinh doanh,2018
BKA,TROY-IT,Kỹ thuật xây dựng,2018
BKA,TX1,Kỹ thuật Dệt - May,2018
BKA,TX2,Công nghệ may,2018
BMU,7720101,Y khoa,2018
BMU,7720201,Dược học,2018
BPH,7380101,Luật,2018
BPH,7860214,Biên phòng,2018
BVH,7320104,Truyền thông đa phương tiện,2018
BVH,7329001,Công nghệ đa phương tiện,2018
BVH,7340101,Quản trị kinh doanh,2018
BVH,7340115,Marketing,2018
BVH,7340122,Thương mại điện tử,2018
BVH,7340301,Kế toán,2018
BVH,7480201,Công nghệ thông tin,2018
BVH,7480202,An toàn thông tin,2018
BVH,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
BVH,7520207,Kỹ thuật điện tử - viễn thông,2018
CCM,51140201,Giáo dục Mầm non,2018
CCM,51140202,Giáo dục Tiểu học,2018
CCM,7140201,Giáo dục Mầm non,2018
CCM,7140202,Giáo dục Tiểu học,2018
CCM,7140205,Giáo dục Chính trị,2018
CCM,7140209,Sư phạm Toán học,2018
CCM,7140211,Sư phạm Vật lý,2018
CCM,7140212,Sư phạm Hóa học,2018
CCM,7140231,Sư phạm Tiếng Anh,2018
CCM,7210404,Thiết kế thời trang,2018
CCM,7220201,Ngôn ngữ Anh,2018
CCM,7220204,Ngôn ngữ Trung Quốc,2018
CCM,7310201,Chính trị học,2018
CCM,7340101,Quản trị kinh doanh,2018
CCM,7340115,Marketing,2018
CCM,7340201,Tài chính - Ngân hàng,2018
CCM,7340301,Kế toán,2018
CCM,7380101,Luật,2018
CCM,7440301,Khoa học môi trường,2018
CCM,7480201,Công nghệ thông tin,2018
CCM,7510201,Công nghệ kỹ thuật cơ khí,2018
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
CCM,7510601,Quản lý công nghiệp,2018
CCM,7540202,"Công nghệ sợi, dệt",2018
CCM,7540209,Công nghệ may,2018
CCM,7580201,Kỹ thuật xây dựng,2018
CCM,7620110,Khoa học cây trồng,2018
CCM,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
CEA,7310101,Kinh tế,2018
CEA,7340101,Quản trị kinh doanh,2018
CEA,7340201,Tài chính - Ngân hàng,2018
CEA,7340301,Kế toán,2018
CEA,7620110,Khoa học cây trồng,2018
CEA,7620201,Lâm học,2018
CEA,7640101,Thú y,2018
CEA,7850103,Quản lý đất đai,2018
CSH,7860100,Nghiệp vụ cảnh sát,2018
CSS,7860100,Nghiệp vụ cảnh sát,2018
DBD,7140206,Giáo dục Thể chất,2018
DBD,7220201,Ngôn ngữ Anh,2018
DBD,7229030,Văn học,2018
DBD,7310301,Xã hội học,2018
DBD,7310630,Việt Nam học,2018
DBD,7340101,Quản trị kinh doanh,2018
DBD,7340201,Tài chính - Ngân hàng,2018
DBD,7340301,Kế toán,2018
DBD,7380107,Luật,2018
DBD,7420201,Công nghệ sinh học,2018
DBD,7480201,Công nghệ thông tin,2018
DBD,7510102,Công nghệ kỹ thuật công trình xây dựng,2018
DBD,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DBD,7580101,Kiến trúc,2018
DBD,7720201,Dược học,2018
DBG,7140215,Sư phạm Kỹ thuật nông nghiệp,2018
DBG,7220201,Ngôn ngữ Anh,2018
DBG,7310101,Kinh tế,2018
DBG,7340101,Quản trị kinh doanh,2018
DBG,7340101C,Quản trị kinh doanh,2018
DBG,7340120Q,Kinh doanh,2018
DBG,7340121Q,Thương mại,2018
DBG,7340301,Kế toán,2018
DBG,7420201,Công nghệ sinh học,2018
DBG,7420201Q (LKQT),Công nghệ sinh học,2018
DBG,7440212,Bản đồ học,2018
DBG,7440301,Khoa học môi trường,2018
DBG,7480201,Công nghệ thông tin,2018
DBG,7510201,Công nghệ kỹ thuật cơ khí,2018
DBG,7510201C,Công nghệ kỹ thuật cơ khí,2018
DBG,7510203,Công nghệ kỹ thuật cơ điện tử,2018
DBG,7510205,Công nghệ kỹ thuật ô tô,2018
DBG,7510206,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),2018
DBG,7510401,Công nghệ kỹ thuật hoá học,2018
DBG,7520216,Kỹ thuật điều khiển và tự động hoá,2018
DBG,7520320C,Kỹ thuật môi trường,2018
DBG,7540101,Công nghệ thực phẩm,2018
DBG,7540101C,Công nghệ thực phẩm,2018
DBG,7540105,Công nghệ chế biến thuỷ sản,2018
DBG,7540106,Đảm bảo chất lượng và an toàn thực phẩm,2018
DBG,7549001,Công nghệ chế biến lâm sản,2018
DBG,7620105,Chăn nuôi,2018
DBG,7620109,Nông học,2018
DBG,7620110,Khoa học cây trồng,2018
DBG,7620112,Bảo vệ thực vật,2018
DBG,7620113,Công nghệ rau hoa quả và cảnh quan,2018
DBG,7620114,Kinh doanh nông nghiệp,2018
DBG,7620114Q (LKQT),Quản lý và kinh doanh nông nghiệp,2018
DBG,7620116,Phát triển nông thôn,2018
DBG,7620201,Lâm học,2018
DBG,7620205,Lâm sinh,2018
DBG,7620211,Quản lý tài nguyên rừng,2018
DBG,7620301,Nuôi trồng thuỷ sản,2018
DBG,7640101,Thú y,2018
DBG,7850101,Quản lý tài nguyên và môi trường,2018
DBG,7850103,Quản lý đất đai,2018
DBL,51140201,Giáo dục Mầm non,2018
DBL,51140202,Giáo dục Tiểu học,2018
DBL,51140206,Giáo dục Thể chất,2018
DBL,51220113,Việt Nam học,2018
DBL,51340301,Kế toán,2018
DBL,51480201,Công nghệ thông tin,2018
DBL,51620301,Nuôi trồng thuỷ sản,2018
DBL,51640201,Dịch vụ thú y,2018
DBL,7220101,Tiếng Việt và văn hoá Việt Nam,2018
DBL,7220201,Ngôn ngữ Anh,2018
DBL,7340101,Quản trị kinh doanh,2018
DBL,7340201,Tài chính - Ngân hàng,2018
DBL,7340301,Kế toán,2018
DBL,7440301,Khoa học môi trường,2018
DBL,7480201,Công nghệ thông tin,2018
DBL,7620105,Chăn nuôi,2018
DBL,7620112,Bảo vệ thực vật,2018
DBL,7620301,Nuôi trồng thuỷ sản,2018
DCD,7220201,Ngôn ngữ Anh,2018
DCD,7340101,Quản trị kinh doanh,2018
DCD,7340201,Tài chính - Ngân hàng,2018
DCD,7340301,Kế toán,2018
DCD,7420201,Công nghệ sinh học,2018
DCD,7480201,Công nghệ thông tin,2018
DCD,7510103,Công nghệ kỹ thuật xây dựng,2018
DCD,7510202,Công nghệ chế tạo máy,2018
DCD,7510205,Công nghệ kỹ thuật ô tô,2018
DCD,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DCD,7510401,Công nghệ kỹ thuật hoá học,2018
DCD,7510406,Công nghệ kỹ thuật môi trường,2018
DCD,7540101,Công nghệ thực phẩm,2018
DCD,7720301,Điều dưỡng,2018
DCD,7720601,Kỹ thuật xét nghiệm y học,2018
DCD,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DCH,7860207,Chỉ huy tham mưu Đặc công,2018
DCL,7220101,Tiếng Việt và văn hoá Việt Nam,2018
DCL,7220201,Ngôn ngữ Anh,2018
DCL,7310608,Đông phương học,2018
DCL,7340101,Quản trị kinh doanh,2018
DCL,7340121,Kinh doanh thương mại,2018
DCL,7340201,Tài chính - Ngân hàng,2018
DCL,7340301,Kế toán,2018
DCL,7380107,Luật,2018
DCL,7420201,Công nghệ sinh học,2018
DCL,7480201,Công nghệ thông tin,2018
DCL,7510102,Công nghệ kỹ thuật công trình xây dựng,2018
DCL,7510201,Công nghệ kỹ thuật cơ khí,2018
DCL,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DCL,7540101,Công nghệ thực phẩm,2018
DCL,7580205,Kỹ thuật xây dựng,2018
DCL,7620109,Nông học,2018
DCL,7620112,Bảo vệ thực vật,2018
DCL,7720301,Điều dưỡng,2018
DCL,7720601,Kỹ thuật xét nghiệm y học,2018
DCL,7760101,Công tác xã hội,2018
DCL,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DCN,7210404,Thiết kế thời trang,2018
DCN,7220201,Ngôn ngữ Anh,2018
DCN,7220204,Ngôn ngữ Trung Quốc,2018
DCN,7310104,Kinh tế đầu tư,2018
DCN,7340101,Quản trị kinh doanh,2018
DCN,7340115,Marketing,2018
DCN,7340201,Tài chính - Ngân hàng,2018
DCN,7340301,Kế toán,2018
DCN,7340302,Kiểm toán,2018
DCN,7340404,Quản trị nhân lực,2018
DCN,7340406,Quản trị văn phòng,2018
DCN,7480101,Khoa học máy tính,2018
DCN,7480102,Mạng máy tính và Truyền thông dữ liệu,2018
DCN,7480103,Kỹ thuật phần mềm,2018
DCN,7480104,Hệ thống thông tin,2018
DCN,7480108,Công nghệ kỹ thuật máy tính,2018
DCN,7480201,Công nghệ thông tin,2018
DCN,7510201,Công nghệ kỹ thuật cơ khí,2018
DCN,7510203,Công nghệ kỹ thuật cơ điện tử,2018
DCN,7510205,Công nghệ kỹ thuật ô tô,2018
DCN,7510206,Công nghệ kỹ thuật máy tính,2018
DCN,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DCN,7510302,Công nghệ kỹ thuật điện tử - viễn thông,2018
DCN,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DCN,7510401,Công nghệ kỹ thuật hoá học,2018
DCN,7510406,Công nghệ kỹ thuật môi trường,2018
DCN,7540101,Công nghệ thực phẩm,2018
DCN,7540204,"Công nghệ dệt, may",2018
DCN,7810101,Du lịch,2018
DCN,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DCN,7810201,Quản trị khách sạn,2018
DCQ,52220201,Ngôn ngữ Anh,2018
DCQ,52220202,Ngôn ngữ Nga,2018
DCQ,52310205,Quản lý nhà nước,2018
DCQ,52340101,Quản trị kinh doanh,2018
DCQ,52340103,Quản trị dịch vụ du lịch và lữ hành,2018
DCQ,52340201,Tài chính - Ngân hàng,2018
DCQ,52340301,Kế toán,2018
DCQ,52380107,Luật,2018
DCQ,5480103,Kỹ thuật phần mềm,2018
DCQ,5480201,Công nghệ thông tin,2018
DCQ,5510205,Công nghệ kỹ thuật ô tô,2018
DCT,7210403,Thiết kế đồ họa,2018
DCT,7320104,Truyền thông đa phương tiện,2018
DCT,7320106,Công nghệ truyền thông,2018
DCT,7340122,Thương mại điện tử,2018
DCT,7340405,Hệ thống thông tin quản lý,2018
DCT,7340406,Quản trị văn phòng,2018
DCT,7480101,Khoa học máy tính,2018
DCT,7480102,Mạng máy tính và Truyền thông dữ liệu,2018
DCT,7480103,Kỹ thuật phần mềm,2018
DCT,7480104,Hệ thống thông tin,2018
DCT,7480108,Công nghệ kỹ thuật máy tính,2018
DCT,7480201,Công nghệ thông tin,2018
DCT,7480202,An toàn thông tin,2018
DCT,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DCT,7510302,Công nghệ kỹ thuật điện tử - viễn thông,2018
DCT,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DCT,7520212,Kỹ thuật y sinh,2018
DCV,7340301,Kế toán,2018
DCV,7480201,Công nghệ thông tin,2018
DCV,7510206,Công nghệ kỹ thuật máy tính,2018
DCV,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DCV,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DCV,7510401,Công nghệ kỹ thuật hoá học,2018
DCV,7510601,Quản lý công nghiệp,2018
DCV,7540101,Công nghệ thực phẩm,2018
DCV,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DCV,7810201,Quản trị khách sạn,2018
DDA,7340101,Quản trị kinh doanh,2018
DDA,7340201,Tài chính - Ngân hàng,2018
DDA,7340301,Kế toán,2018
DDA,7480201,Công nghệ thông tin,2018
DDA,7510202,Công nghệ chế tạo máy,2018
DDA,7510206,Công nghệ kỹ thuật máy tính,2018
DDA,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DDA,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DDA,7540101,Công nghệ thực phẩm,2018
DDA,7580201,Kỹ thuật xây dựng,2018
DDF,7140231,Sư phạm Tiếng Anh,2018
DDF,7140233,Sư phạm Tiếng Pháp,2018
DDF,7140234,Sư phạm Tiếng Trung Quốc,2018
DDF,7220201,Ngôn ngữ Anh,2018
DDF,7220201CLC,Ngôn ngữ Anh,2018
DDF,7220202,Ngôn ngữ Nga,2018
DDF,7220203,Ngôn ngữ Pháp,2018
DDF,7220204,Ngôn ngữ Trung Quốc,2018
DDF,7220204CLC,Ngôn ngữ Trung Quốc,2018
DDF,7220209,Ngôn ngữ Nhật,2018
DDF,7220209CLC,Ngôn ngữ Nhật,2018
DDF,7220210,Ngôn ngữ Hàn Quốc,2018
DDF,7220210CLC,Ngôn ngữ Hàn Quốc,2018
DDF,7220214,Ngôn ngữ Thái Lan,2018
DDF,7310601,Quốc tế học,2018
DDF,7310601CLC,Quốc tế học,2018
DDF,7310608,Đông phương học,2018
DDG,7140206,Giáo dục Thể chất,2018
DDK,7420201,Công nghệ sinh học,2018
DDK,7480201CLC,Công nghệ thông tin,2018
DDK,7480201DT,Công nghệ thông tin,2018
DDK,7510105,Công nghệ kỹ thuật vật liệu xây dựng,2018
DDK,7510202,Công nghệ chế tạo máy,2018
DDK,7510601,Quản lý công nghiệp,2018
DDK,7510701CLC,Công nghệ dầu khí và khai thác dầu,2018
DDK,7520103CLC,Kỹ thuật cơ khí,2018
DDK,7520115CLC,Kỹ thuật nhiệt,2018
DDK,7520122,Kỹ thuật tàu thuỷ,2018
DDK,7520216CLC,Kỹ thuật điều khiển và tự động hoá,2018
DDK,7520301,Kỹ thuật hoá học,2018
DDK,7540101CLC,Công nghệ thực phẩm,2018
DDK,7580101CLC,Kiến trúc,2018
DDK,7580201A,Kỹ thuật xây dựng,2018
DDK,7580201CLC,Kỹ thuật xây dựng,2018
DDK,7580205CLC,Kỹ thuật xây dựng,2018
DDK,7580301CLC,Kinh tế xây dựng,2018
DDK,7850101,Quản lý tài nguyên và môi trường,2018
DDK,7905206,Điện tử viễn thông,2018
DDK,7905216,Chương trình tiên tiến ngành Hệ thống nhúng,2018
DDK,PFIEV,Chương trình đào tạo kỹ sư chất lượng cao Việt-Pháp,2018
DDL,7340101,Quản trị kinh doanh,2018
DDL,7340101 CLC,Quản trị kinh doanh,2018
DDL,7340201,Tài chính - Ngân hàng,2018
DDL,7340201 CLC,Tài chính - Ngân hàng,2018
DDL,7340301,Kế toán,2018
DDL,7340301 CLC,Kế toán,2018
DDL,7340302,Kiểm toán,2018
DDL,7480201,Công nghệ thông tin,2018
DDL,7510102,Công nghệ kỹ thuật công trình xây dựng,2018
DDL,7510201,Công nghệ kỹ thuật cơ khí,2018
DDL,7510203,Công nghệ kỹ thuật cơ điện tử,2018
DDL,7510301_CLC,"Công nghệ kỹ thuật điện, điện tử",2018
DDL,7510302,Công nghệ kỹ thuật điện tử - viễn thông,2018
DDL,7510302_CLC,Công nghệ kỹ thuật điện tử - viễn thông,2018
DDL,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DDL,7510303_CLC,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DDL,7510403,Công nghệ kỹ thuật năng lượng,2018
DDL,7510406,Công nghệ kỹ thuật môi trường,2018
DDL,7510407,Công nghệ kỹ thuật hạt nhân,2018
DDL,7510601,Quản lý công nghiệp,2018
DDL,7510601 CLC,Quản lý công nghiệp,2018
DDL,7510602,Quản lý năng lượng,2018
DDL,7510605,Logistics và Quản lý chuỗi cung ứng,2018
DDL,7520115,Kỹ thuật nhiệt,2018
DDM,7340101,Quản trị kinh doanh,2018
DDM,7340201,Tài chính - Ngân hàng,2018
DDM,7340301,Kế toán,2018
DDM,7480201,Công nghệ thông tin,2018
DDM,7510102,Công nghệ kỹ thuật công trình xây dựng,2018
DDM,7510201,Công nghệ kỹ thuật cơ khí,2018
DDM,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DDM,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,2018
DDM,7520501,Kỹ thuật địa chất,2018
DDM,7520503,Kỹ thuật trắc địa - bản đồ,2018
DDM,7520601,Kỹ thuật mỏ,2018
DDM,7520607,Kỹ thuật tuyển khoáng,2018
DDN,51140201,Giáo dục Mầm non,2018
DDN,51140202,Giáo dục Tiểu học,2018
DDN,51140210,Sư phạm Tin học,2018
DDN,51140231,Sư phạm Tiếng Anh,2018
DDN,7140201,Giáo dục Mầm non,2018
DDN,7140202,Giáo dục Tiểu học,2018
DDN,7140209,Sư phạm Toán học,2018
DDN,7140211,Sư phạm Vật lý,2018
DDN,7140212,Sư phạm Hóa học,2018
DDN,7140213,Sư phạm Sinh học,2018
DDN,7140217,Sư phạm Ngữ văn,2018
DDN,7140218,Sư phạm Lịch sử,2018
DDN,7140231,Sư phạm Tiếng Anh,2018
DDN,7220201,Ngôn ngữ Anh,2018
DDN,7220204,Ngôn ngữ Trung Quốc,2018
DDN,7320108,Quan hệ công chúng,2018
DDN,7340101,Quản trị kinh doanh,2018
DDN,7340201,Tài chính - Ngân hàng,2018
DDN,7340301,Kế toán,2018
DDN,7380107,Luật,2018
DDN,7480201,Công nghệ thông tin,2018
DDN,7580102,Kiến trúc,2018
DDN,7580201,Kỹ thuật xây dựng,2018
DDN,7720201,Dược học,2018
DDN,7720301,Điều dưỡng,2018
DDN,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DDP,7140202,Giáo dục Tiểu học,2018
DDP,7310105,Kinh tế phát triển,2018
DDP,7340101,Quản trị kinh doanh,2018
DDP,7340121,Kinh doanh thương mại,2018
DDP,7340201,Tài chính - Ngân hàng,2018
DDP,7340301,Kế toán,2018
DDP,7380107,Luật,2018
DDP,7420201,Công nghệ sinh học,2018
DDP,7480201,Công nghệ thông tin,2018
DDP,7520201,Kỹ thuật điện,2018
DDP,7580201,Kỹ thuật xây dựng,2018
DDP,7620114,Kinh doanh nông nghiệp,2018
DDP,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DDQ,7310101,Kinh tế,2018
DDQ,7310107,Thống kê kinh tế,2018
DDQ,7310205,Quản lý nhà nước,2018
DDQ,7340101,Quản trị kinh doanh,2018
DDQ,7340115,Marketing,2018
DDQ,7340120,Kinh doanh quốc tế,2018
DDQ,7340121,Kinh doanh thương mại,2018
DDQ,7340122,Thương mại điện tử,2018
DDQ,7340201,Tài chính - Ngân hàng,2018
DDQ,7340301,Kế toán,2018
DDQ,7340302,Kiểm toán,2018
DDQ,7340404,Quản trị nhân lực,2018
DDQ,7340405,Hệ thống thông tin quản lý,2018
DDQ,7380101,Luật,2018
DDQ,7380107,Luật,2018
DDQ,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DDQ,7810201,Quản trị khách sạn,2018
DDS,7140201,Giáo dục Mầm non,2018
DDS,7140202,Giáo dục Tiểu học,2018
DDS,7140205,Giáo dục Chính trị,2018
DDS,7140209,Sư phạm Toán học,2018
DDS,7140210,Sư phạm Tin học,2018
DDS,7140211,Sư phạm Vật lý,2018
DDS,7140212,Sư phạm Hóa học,2018
DDS,7140213,Sư phạm Sinh học,2018
DDS,7140217,Sư phạm Ngữ văn,2018
DDS,7140218,Sư phạm Lịch sử,2018
DDS,7140219,Sư phạm Địa lý,2018
DDS,7140221,Sư phạm Âm nhạc,2018
DDS,7229010,Lịch sử,2018
DDS,7229030,Văn học,2018
DDS,7229040,Văn hoá học,2018
DDS,7310401,Tâm lý học,2018
DDS,7310401CLC,Tâm lý học,2018
DDS,7310501,Địa lý học,2018
DDS,7310630,Việt Nam học,2018
DDS,7310630CLC,Việt Nam học,2018
DDS,7320101,Báo chí,2018
DDS,7320101CLC,Báo chí,2018
DDS,7420201,Công nghệ sinh học,2018
DDS,7440102,Vật lý học,2018
DDS,7440112,Hoá học,2018
DDS,7440112CLC,Hoá học,2018
DDS,7440301,Khoa học môi trường,2018
DDS,7460112,Toán ứng dụng,2018
DDS,7480201,Công nghệ thông tin,2018
DDS,7480201CLC,Công nghệ thông tin,2018
DDS,7480201DT,Công nghệ thông tin,2018
DDS,7760101,Công tác xã hội,2018
DDS,7850101,Quản lý tài nguyên và môi trường,2018
DDS,7850101CLC,Quản lý tài nguyên và môi trường,2018
DDT,7220201,Ngôn ngữ Anh,2018
DDT,7229030,Văn học,2018
DDT,7310206,Quan hệ quốc tế,2018
DDT,7310630,Việt Nam học,2018
DDT,7320104,Truyền thông đa phương tiện,2018
DDT,7340101,Quản trị kinh doanh,2018
DDT,7340201,Tài chính - Ngân hàng,2018
DDT,7340301,Kế toán,2018
DDT,7340405,Hệ thống thông tin quản lý,2018
DDT,7380101,Luật,2018
DDT,7380107,Luật,2018
DDT,7480103,Kỹ thuật phần mềm,2018
DDT,7510102,Công nghệ kỹ thuật công trình xây dựng,2018
DDT,7510301,"Công nghệ kỹ thuật điện, điện tử",2018
DDT,7510406,Công nghệ kỹ thuật môi trường,2018
DDT,7540101,Công nghệ thực phẩm,2018
DDT,7580101,Kiến trúc,2018
DDT,7580201,Kỹ thuật xây dựng,2018
DDT,7720101,Y khoa,2018
DDT,7720201,Dược học,2018
DDT,7720301,Điều dưỡng,2018
DDT,7720501,Răng - Hàm - Mặt,2018
DDT,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DDT,7850101,Quản lý tài nguyên và môi trường,2018
DDV,7340124,Quản trị và Kinh doanh Quốc tế,2018
DDV,7420204,Khoa học Y sinh,2018
DDV,7480204,Khoa học và Kỹ thuật máy tính,2018
DDY,7720101,Y khoa,2018
DDY,7720201A,Dược học,2018
DDY,7720201B,Dược học,2018
DDY,7720301,Điều dưỡng,2018
DDY,7720501,Răng - Hàm - Mặt,2018
DFA,7310101,Kinh tế,2018
DFA,7340101,Quản trị kinh doanh,2018
DFA,7340120,Kinh doanh quốc tế,2018
DFA,7340201,Tài chính - Ngân hàng,2018
DFA,7340301,Kế toán,2018
DFA,7340302,Khoa học máy tính,2018
DFA,7340405,Hệ thống thông tin quản lý,2018
DHA,7380101,Luật,2018
DHA,7380107,Luật,2018
DHC,7140206,Giáo dục Thể chất,2018
DHC,7140208,Giáo dục Quốc phòng - An ninh,2018
DHD,7310101,Kinh tế,2018
DHD,7340101,Quản trị kinh doanh,2018
DHD,7810101,Du lịch,2018
DHD,7810103,Quản trị dịch vụ du lịch và lữ hành,2018
DHD,7810201,Quản trị khách sạn,2018
DHD,7810202,Quản trị nhà hàng và dịch vụ ăn uống,2018
DHF,7140231,Sư phạm Tiếng Anh,2018
DHF,7140233,Sư phạm Tiếng Pháp,2018
DHF,7140234,Sư phạm Tiếng Trung Quốc,2018
DHF,7220201,Ngôn ngữ Anh,2018
DHF,7220202,Ngôn ngữ Nga,2018
DHF,7220203,Ngôn ngữ Pháp,2018
DHF,7220204,Ngôn ngữ Trung Quốc,2018
DHF,7220209,Ngôn ngữ Nhật,2018
DHF,7220210,Ngôn ngữ Hàn Quốc,2018
DHF,7310601,Quốc tế học,2018
DHF,7310630,Việt Nam học,2018
DHK,7310101,Kinh tế,2018
DHK,7310102,Kinh tế,2018
DHK,7310107,Thống kê kinh tế,2018
DHK,7340101,Quản trị kinh doanh,2018
DHK,7340101CL,Quản trị kinh doanh,2018
DHK,7340115,Marketing,2018
DHK,7340121,Kinh doanh thương mại,2018
DHK,7340122,Thương mại điện tử,2018
DHK,7340201,Tài chính - Ngân hàng,2018
DHK,7340301,Kế toán,2018
DHK,7340302,Kiểm toán,2018
DHK,7340404,Quản trị nhân lực,2018
DHK,7340405CL,Hệ thống thông tin quản lý,2018
DHK,7349001,Tài chính - Ngân hàng,2018
DHK,7349002,Quản trị kinh doanh,2018
DHK,7620114,Kinh doanh nông nghiệp,2018
DHK,7620115,Kinh tế,2018
DHK,7903124,Song ngành Kinh tế - Tài chính,2018
DHL,7340116,Bất động sản,2018
DHL,7510201,Công nghệ kỹ thuật cơ khí,2018
DHL,7520114,Kỹ thuật cơ điện tử,2018
DHL,7540101,Công nghệ thực phẩm,2018
DHL,7540104,Công nghệ sau thu hoạch,2018
DHL,7540106,Đảm bảo chất lượng và an toàn thực phẩm,2018
DHL,7549001,Công nghệ chế biến lâm sản,2018
DHL,7580210,Kỹ thuật cơ sở hạ tầng,2018
DHL,7620102,Khuyến nông,2018
DHL,7620103,Khoa học đất,2018
DHL,7620105,Chăn nuôi,2018
DHL,7620109,Nông học,2018
DHL,7620110,Khoa học cây trồng,2018
DHL,7620112,Bảo vệ thực vật,2018
DHL,7620113,Công nghệ rau hoa quả và cảnh quan,2018
DHL,7620116,Phát triển nông thôn,2018
DHL,7620201,Lâm học,2018
DHL,7620202,Lâm nghiệp đô thị,2018
DHL,7620211,Quản lý tài nguyên rừng,2018
DHL,7620301,Nuôi trồng thuỷ sản,2018
DHL,7620302,Bệnh học thủy sản,2018
DHL,7620305,Quản lý thủy sản,2018
DHL,7640101,Thú y,2018
DHL,7850103,Quản lý đất đai,2018
DHN,7140222,Sư phạm Mỹ thuật,2018
DHN,7210103,Hội hoạ,2018
DHN,7210105,Điêu khắc,2018
DHN,7210403,Thiết kế đồ họa,2018
DHN,7210404,Thiết kế thời trang,2018
DHN,7580108,Thiết kế nội thất,2018
DHP,7220201,Ngôn ngữ Anh,2018
DHP,7310630,Việt Nam học,2018
DHP,7340101,Quản trị kinh doanh,2018
DHP,7380101,Luật,2018
DHP,7480201,Công nghệ thông tin,2018
