school_code,major_code,major_name,combo,score,scale,method,year,note,source,source_url
ANH,7480202,An toàn thông tin,A00,23.46,,THPTQG,2020,Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A00,23.65,,THPTQG,2020,Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,27.45,,THPTQG,2020,Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,28.30,,THPTQG,2020,Phía Bắc,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,20.66,,THPTQG,2020,Đối với NAM,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,21.54,,THPTQG,2020,Đối với NAM,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,21.78,,THPTQG,2020,Đối với NAM,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,25.75,,THPTQG,2020,,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,27.70,,THPTQG,2020,Đối với NỮ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.10,,THPTQG,2020,Đối với NỮ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.18,,THPTQG,2020,Đối với NỮ,daniele15,
ANS,7720101,Gửi đào tạo ngoài ngành Y,B00,23.84,,THPTQG,2020,Đối với nam (không tuyển nữ),daniele15,
ANS,7860100,Nghiệp vụ An ninh,C03,19.54,,THPTQG,2020,Đối với nam,daniele15,
ANS,7860100,Nghiệp vụ An ninh,C03,20.06,,THPTQG,2020,Đối với nam,daniele15,
ANS,7860100,Nghiệp vụ An ninh,C03,21.54,,THPTQG,2020,Đối với nam,daniele15,
ANS,7860100,Nghiệp vụ An ninh,C03,25.21,,THPTQG,2020,Đối với nữ,daniele15,
ANS,7860100,Nghiệp vụ An ninh,C03,25.29,,THPTQG,2020,Đối với nữ,daniele15,
ANS,7860100,Nghiệp vụ An ninh,C03,26.06,,THPTQG,2020,Đối với nữ,daniele15,
BKA,BF-E12,Kỹ thuật Thực phẩm,A00,25.94,,THPTQG,2020,(CT tiên tiến),daniele15,
BKA,BF-E12,Kỹ thuật Thực phẩm,B00,25.94,,THPTQG,2020,(CT tiên tiến),daniele15,
BKA,BF-E12,Kỹ thuật Thực phẩm,D07,25.94,,THPTQG,2020,(CT tiên tiến),daniele15,
BKA,BF-E12X,Kỹ thuật Thực phẩm,A20,19.04,,THPTQG,2020,(CT tiên tiến),daniele15,
BKA,BF1,Kỹ thuật Sinh học,A00,26.20,,THPTQG,2020,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,B00,26.20,,THPTQG,2020,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,D07,26.20,,THPTQG,2020,,daniele15,
BKA,BF1X,Kỹ thuật Sinh học,A20,20.53,,THPTQG,2020,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,A00,26.60,,THPTQG,2020,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,B00,26.60,,THPTQG,2020,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,D07,26.60,,THPTQG,2020,,daniele15,
BKA,BF2X,Kỹ thuật Thực phẩm,A20,21.07,,THPTQG,2020,,daniele15,
BKA,CH-E11,Kỹ thuật Hóa dược,A00,26.50,,THPTQG,2020,,daniele15,
BKA,CH-E11,Kỹ thuật Hóa dược,B00,26.50,,THPTQG,2020,,daniele15,
BKA,CH-E11,Kỹ thuật Hóa dược,D07,26.50,,THPTQG,2020,,daniele15,
BKA,CH-E11X,Kỹ thuật Hóa dược,A20,20.50,,THPTQG,2020,,daniele15,
