ma_truong,ma_nganh,ten_nganh,to_hop,diem,diem_thang,phuong_thuc,nam,ghi_chu,nguon,source_url
ANH,7480202,An toàn thông tin,A00,21.28,,THPTQG,2019,phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,24.64,,THPTQG,2019,phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,24.75,,THPTQG,2019,phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A00,26.72,,THPTQG,2019,phía Bắc,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,19.79,,THPTQG,2019,,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,20.55,,THPTQG,2019,phía Nam đối với Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,21.42,,THPTQG,2019,phía Nam đối với Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,22.35,,THPTQG,2019,phía Bắc đối với Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,22.95,,THPTQG,2019,phía Nam đối với Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,23.32,,THPTQG,2019,phía Bắc đối với Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,25.00,,THPTQG,2019,phía Bắc đối với Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,25.68,,THPTQG,2019,phía Nam đối với Nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,25.90,,THPTQG,2019,phía Bắc đối với Nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,26.05,,THPTQG,2019,phía Nam đối với Nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,26.24,,THPTQG,2019,phía Nam đối với Nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,26.64,,THPTQG,2019,phía Bắc đối với Nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,26.65,,THPTQG,2019,phía Bắc đối với Nữ,daniele15,
BKA,BF-E12,Kỹ thuật Thực phẩm,A00,23.00,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,BF-E12,Kỹ thuật Thực phẩm,B00,23.00,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,BF-E12,Kỹ thuật Thực phẩm,D07,23.00,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,BF1,Kỹ thuật Sinh học,A00,23.40,,THPTQG,2019,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,B00,23.40,,THPTQG,2019,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,D07,23.40,,THPTQG,2019,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,A00,24.00,,THPTQG,2019,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,B00,24.00,,THPTQG,2019,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,D07,24.00,,THPTQG,2019,,daniele15,
BKA,CH-E11,Kỹ thuật Hóa dược,A00,23.10,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,CH-E11,Kỹ thuật Hóa dược,B00,23.10,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,CH-E11,Kỹ thuật Hóa dược,D07,23.10,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,CH1,Kỹ thuật hoá học,A00,22.30,,THPTQG,2019,,daniele15,
BKA,CH1,Kỹ thuật hoá học,B00,22.30,,THPTQG,2019,,daniele15,
BKA,CH1,Kỹ thuật hoá học,D07,22.30,,THPTQG,2019,,daniele15,
BKA,CH2,Hoá học,A00,21.10,,THPTQG,2019,,daniele15,
BKA,CH2,Hoá học,B00,21.10,,THPTQG,2019,,daniele15,
BKA,CH2,Hoá học,D07,21.10,,THPTQG,2019,,daniele15,
BKA,CH3,Kỹ thuật in,A00,21.10,,THPTQG,2019,,daniele15,
BKA,CH3,Kỹ thuật in,B00,21.10,,THPTQG,2019,,daniele15,
BKA,CH3,Kỹ thuật in,D07,21.10,,THPTQG,2019,,daniele15,
BKA,ED2,Công nghệ giáo dục,A00,20.60,,THPTQG,2019,,daniele15,
BKA,ED2,Công nghệ giáo dục,A01,20.60,,THPTQG,2019,,daniele15,
BKA,ED2,Công nghệ giáo dục,D01,20.60,,THPTQG,2019,,daniele15,
BKA,EE-E8,Điều khiển - Tự động hóa và Hệ thống điện,A00,25.20,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,EE-E8,Điều khiển - Tự động hóa và Hệ thống điện,A01,25.20,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,EE1,Kỹ thuật điện,A00,24.28,,THPTQG,2019,,daniele15,
BKA,EE1,Kỹ thuật điện,A01,24.28,,THPTQG,2019,,daniele15,
BKA,EE2,Kỹ thuật Điều khiển - Tự động hóa,A00,26.05,,THPTQG,2019,,daniele15,
BKA,EE2,Kỹ thuật Điều khiển - Tự động hóa,A01,26.05,,THPTQG,2019,,daniele15,
BKA,EM-E13,Phân tích kinh doanh,A00,22.00,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,EM-E13,Phân tích kinh doanh,A01,22.00,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,EM-NU,Quản lý công nghiệp,A00,23.00,,THPTQG,2019,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-NU,Quản lý công nghiệp,A01,23.00,,THPTQG,2019,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-NU,Quản lý công nghiệp,D01,23.00,,THPTQG,2019,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-NU,Quản lý công nghiệp,D07,23.00,,THPTQG,2019,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,A00,20.90,,THPTQG,2019,ĐH Victoria (New Zealand),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,A01,20.90,,THPTQG,2019,ĐH Victoria (New Zealand),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,D01,20.90,,THPTQG,2019,ĐH Victoria (New Zealand),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,D07,20.90,,THPTQG,2019,ĐH Victoria (New Zealand),daniele15,
BKA,EM1,Kinh tế,A00,21.90,,THPTQG,2019,Kinh tế công nghiệp,daniele15,
BKA,EM1,Kinh tế,A01,21.90,,THPTQG,2019,Kinh tế công nghiệp,daniele15,
BKA,EM1,Kinh tế,D01,21.90,,THPTQG,2019,Kinh tế công nghiệp,daniele15,
BKA,EM2,Quản lý công nghiệp,A00,22.30,,THPTQG,2019,,daniele15,
BKA,EM2,Quản lý công nghiệp,A01,22.30,,THPTQG,2019,,daniele15,
BKA,EM2,Quản lý công nghiệp,D01,22.30,,THPTQG,2019,,daniele15,
BKA,EM3,Quản trị kinh doanh,A00,23.30,,THPTQG,2019,,daniele15,
BKA,EM3,Quản trị kinh doanh,A01,23.30,,THPTQG,2019,,daniele15,
BKA,EM3,Quản trị kinh doanh,D01,23.30,,THPTQG,2019,,daniele15,
BKA,EM4,Kế toán,A00,22.60,,THPTQG,2019,,daniele15,
BKA,EM4,Kế toán,A01,22.60,,THPTQG,2019,,daniele15,
BKA,EM4,Kế toán,D01,22.60,,THPTQG,2019,,daniele15,
BKA,EM5,Tài chính - Ngân hàng,A00,22.50,,THPTQG,2019,,daniele15,
BKA,EM5,Tài chính - Ngân hàng,A01,22.50,,THPTQG,2019,,daniele15,
BKA,EM5,Tài chính - Ngân hàng,D01,22.50,,THPTQG,2019,,daniele15,
BKA,ET-E4,Điện tử viễn thông,A00,24.60,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,ET-E4,Điện tử viễn thông,A01,24.60,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,ET-E5,Kỹ thuật y sinh,A00,24.10,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,ET-E5,Kỹ thuật y sinh,A01,24.10,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,ET-E9,Hệ thống nhúng thông minh và IoT,A00,24.95,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,ET-E9,Hệ thống nhúng thông minh và IoT,A01,24.95,,THPTQG,2019,Chương trình tiên tiến,daniele15,
BKA,ET-LUH,Điện tử viễn thông,A00,20.30,,THPTQG,2019,ĐH Leibniz Hannover (Đức),daniele15,
BKA,ET-LUH,Điện tử viễn thông,A01,20.30,,THPTQG,2019,ĐH Leibniz Hannover (Đức),daniele15,
BKA,ET1,Kỹ thuật điện tử - viễn thông,A00,24.80,,THPTQG,2019,,daniele15,
