ma_truong,ma_nganh,ten_nganh,to_hop,diem,diem_thang,phuong_thuc,nam,ghi_chu,nguon,source_url
ANH,7860100,Nghiệp vụ An ninh,A01,26.10,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,26.10,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,C03,26.10,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.10,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,25.80,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,25.80,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,C03,25.80,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,25.80,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,25.50,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,25.50,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,C03,25.50,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,25.50,,THPTQG,2018,Đối với nữ,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,24.70,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 24.45,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.70,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 24.45,daniele15,
ANH,7860100,Nghiệp vụ An ninh,C03,24.70,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 24.45,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,24.70,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 24.45,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,24.20,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 21.7,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.20,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 21.7,daniele15,
ANH,7860100,Nghiệp vụ An ninh,C03,24.20,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 21.7,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,24.20,,THPTQG,2018,Đối với namTiêu chí phụ:  tổng điểm 3 môn 21.7,daniele15,
ANH,7860100,Nghiệp vụ An ninh,A01,18.45,,THPTQG,2018,,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,18.45,,THPTQG,2018,,daniele15,
ANH,7860100,Nghiệp vụ An ninh,C03,18.45,,THPTQG,2018,,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,18.45,,THPTQG,2018,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,A00,21.10,,THPTQG,2018,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,B00,21.10,,THPTQG,2018,,daniele15,
BKA,BF1,Kỹ thuật Sinh học,D07,21.10,,THPTQG,2018,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,A00,21.70,,THPTQG,2018,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,B00,21.70,,THPTQG,2018,,daniele15,
BKA,BF2,Kỹ thuật Thực phẩm,D07,21.70,,THPTQG,2018,,daniele15,
BKA,CH1,Kỹ thuật hoá học,A00,20.00,,THPTQG,2018,,daniele15,
BKA,CH1,Kỹ thuật hoá học,B00,20.00,,THPTQG,2018,,daniele15,
BKA,CH1,Kỹ thuật hoá học,D07,20.00,,THPTQG,2018,,daniele15,
BKA,CH2,Hoá học,A00,20.00,,THPTQG,2018,,daniele15,
BKA,CH2,Hoá học,B00,20.00,,THPTQG,2018,,daniele15,
BKA,CH2,Hoá học,D07,20.00,,THPTQG,2018,,daniele15,
BKA,CH3,Kỹ thuật in,A00,20.00,,THPTQG,2018,,daniele15,
BKA,CH3,Kỹ thuật in,B00,20.00,,THPTQG,2018,,daniele15,
BKA,CH3,Kỹ thuật in,D07,20.00,,THPTQG,2018,,daniele15,
BKA,EE-E8,Điều khiển - Tự động hóa và Hệ thống điện,A00,23.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,
BKA,EE-E8,Điều khiển - Tự động hóa và Hệ thống điện,A01,23.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,
BKA,EE1,Kỹ thuật điện,A00,21.00,,THPTQG,2018,,daniele15,
BKA,EE1,Kỹ thuật điện,A01,21.00,,THPTQG,2018,,daniele15,
BKA,EE2,Kỹ thuật Điều khiển - Tự động hóa,A00,23.90,,THPTQG,2018,,daniele15,
BKA,EE2,Kỹ thuật Điều khiển - Tự động hóa,A01,23.90,,THPTQG,2018,,daniele15,
BKA,EM-NU,Quản lý công nghiệp,A00,20.00,,THPTQG,2018,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-NU,Quản lý công nghiệp,A01,20.00,,THPTQG,2018,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-NU,Quản lý công nghiệp,D01,20.00,,THPTQG,2018,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-NU,Quản lý công nghiệp,D07,20.00,,THPTQG,2018,Logistics và Quản lý chuỗi cung ứng - ĐH Northampton (Anh),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,A00,18.00,,THPTQG,2018,ĐH Victoria (New Zealand),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,A01,18.00,,THPTQG,2018,ĐH Victoria (New Zealand),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,D01,18.00,,THPTQG,2018,ĐH Victoria (New Zealand),daniele15,
BKA,EM-VUW,Quản trị kinh doanh,D07,18.00,,THPTQG,2018,ĐH Victoria (New Zealand),daniele15,
BKA,EM1,Kinh tế,A00,20.00,,THPTQG,2018,Kinh tế công nghiệp,daniele15,
BKA,EM1,Kinh tế,A01,20.00,,THPTQG,2018,Kinh tế công nghiệp,daniele15,
BKA,EM1,Kinh tế,D01,20.00,,THPTQG,2018,Kinh tế công nghiệp,daniele15,
BKA,EM2,Quản lý công nghiệp,A00,20.00,,THPTQG,2018,,daniele15,
BKA,EM2,Quản lý công nghiệp,A01,20.00,,THPTQG,2018,,daniele15,
BKA,EM2,Quản lý công nghiệp,D01,20.00,,THPTQG,2018,,daniele15,
BKA,EM3,Quản trị kinh doanh,A00,20.70,,THPTQG,2018,,daniele15,
BKA,EM3,Quản trị kinh doanh,A01,20.70,,THPTQG,2018,,daniele15,
BKA,EM3,Quản trị kinh doanh,D01,20.70,,THPTQG,2018,,daniele15,
BKA,EM4,Kế toán,A00,20.50,,THPTQG,2018,,daniele15,
BKA,EM4,Kế toán,A01,20.50,,THPTQG,2018,,daniele15,
BKA,EM4,Kế toán,D01,20.50,,THPTQG,2018,,daniele15,
BKA,EM5,Tài chính - Ngân hàng,A00,20.00,,THPTQG,2018,,daniele15,
BKA,EM5,Tài chính - Ngân hàng,A01,20.00,,THPTQG,2018,,daniele15,
BKA,EM5,Tài chính - Ngân hàng,D01,20.00,,THPTQG,2018,,daniele15,
BKA,ET-E4,Điện tử viễn thông,A00,21.70,,THPTQG,2018,Chương trình tiên tiến,daniele15,
