ma_truong,ma_nganh,ten_nganh,to_hop,diem,diem_thang,phuong_thuc,nam,ghi_chu,nguon,source_url
AIS,7220201,Ngôn ngữ Anh,D01,27.86,,THPTQG,2021,dành cho nữ,daniele15,
AIS,7220201,Ngôn ngữ Anh,D01,24.68,,THPTQG,2021,dành cho nam,daniele15,
AIS,7220204,Ngôn ngữ Trung Quốc,D04,26.23,,THPTQG,2021,dành cho nữ,daniele15,
AIS,7220204,Ngôn ngữ Trung Quốc,D04,27.08,,THPTQG,2021,dành cho nữ,daniele15,
AIS,7220204,Ngôn ngữ Trung Quốc,D04,23.10,,THPTQG,2021,dành cho nam,daniele15,
AIS,7220204,Ngôn ngữ Trung Quốc,D04,26.74,,THPTQG,2021,dành cho nam,daniele15,
ANH,7480202,An toàn thông tin,A00,24.94,,THPTQG,2021,NỮ - Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,26.80,,THPTQG,2021,NỮ - Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,27.28,,THPTQG,2021,NỮ - Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A00,29.39,,THPTQG,2021,NỮ - Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A00,23.14,,THPTQG,2021,NAM - Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,24.86,,THPTQG,2021,NAM - Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A00,26.58,,THPTQG,2021,NAM - Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A00,27.21,,THPTQG,2021,NAM - Phía Bắc,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,23.05,,THPTQG,2021,Phía Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,25.16,,THPTQG,2021,Phía Bắc,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.09,,THPTQG,2021,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.16,,THPTQG,2021,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.20,,THPTQG,2021,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.41,,THPTQG,2021,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.01,,THPTQG,2021,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.69,,THPTQG,2021,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,29.30,,THPTQG,2021,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,29.84,,THPTQG,2021,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,27.81,,THPTQG,2021,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,28.55,,THPTQG,2021,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,29.96,,THPTQG,2021,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,29.99,,THPTQG,2021,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,20.25,,THPTQG,2021,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,21.96,,THPTQG,2021,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,22.88,,THPTQG,2021,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.08,,THPTQG,2021,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.15,,THPTQG,2021,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.34,,THPTQG,2021,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,27.20,,THPTQG,2021,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.49,,THPTQG,2021,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.51,,THPTQG,2021,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.73,,THPTQG,2021,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,27.08,,THPTQG,2021,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,D01,26.20,,THPTQG,2021,Nam - Địa bàn 1,daniele15,
