ky_thi,nam,to_hop,tinh,tinh_new,chuong_trinh,diem,count
THPTQG,2025,A00,01,01,CT2006,7.7,1
THPTQG,2025,A00,01,01,CT2006,8.05,1
THPTQG,2025,A00,01,01,CT2006,8.2,1
THPTQG,2025,A00,01,01,CT2006,8.4,1
THPTQG,2025,A00,01,01,CT2006,8.7,2
THPTQG,2025,A00,01,01,CT2006,8.9,1
THPTQG,2025,A00,01,01,CT2006,9.7,1
THPTQG,2025,A00,01,01,CT2006,10.2,1
THPTQG,2025,A00,01,01,CT2006,10.35,1
THPTQG,2025,A00,01,01,CT2006,10.7,1
THPTQG,2025,A00,01,01,CT2006,10.8,1
THPTQG,2025,A00,01,01,CT2006,10.85,1
THPTQG,2025,A00,01,01,CT2006,11.05,1
THPTQG,2025,A00,01,01,CT2006,11.15,1
THPTQG,2025,A00,01,01,CT2006,11.25,1
THPTQG,2025,A00,01,01,CT2006,11.65,1
THPTQG,2025,A00,01,01,CT2006,11.75,1
THPTQG,2025,A00,01,01,CT2006,11.9,1
THPTQG,2025,A00,01,01,CT2006,12.25,2
THPTQG,2025,A00,01,01,CT2006,12.3,1
THPTQG,2025,A00,01,01,CT2006,12.35,2
THPTQG,2025,A00,01,01,CT2006,12.4,1
THPTQG,2025,A00,01,01,CT2006,12.5,2
THPTQG,2025,A00,01,01,CT2006,12.65,1
THPTQG,2025,A00,01,01,CT2006,12.95,1
THPTQG,2025,A00,01,01,CT2006,13.1,2
THPTQG,2025,A00,01,01,CT2006,13.35,1
THPTQG,2025,A00,01,01,CT2006,13.85,1
THPTQG,2025,A00,01,01,CT2006,14.0,1
THPTQG,2025,A00,01,01,CT2006,14.25,2
THPTQG,2025,A00,01,01,CT2006,14.45,1
THPTQG,2025,A00,01,01,CT2006,14.65,2
THPTQG,2025,A00,01,01,CT2006,14.7,1
THPTQG,2025,A00,01,01,CT2006,14.85,1
THPTQG,2025,A00,01,01,CT2006,14.9,1
THPTQG,2025,A00,01,01,CT2006,15.05,1
THPTQG,2025,A00,01,01,CT2006,15.15,1
THPTQG,2025,A00,01,01,CT2006,15.2,1
THPTQG,2025,A00,01,01,CT2006,15.25,1
THPTQG,2025,A00,01,01,CT2006,15.35,1
THPTQG,2025,A00,01,01,CT2006,15.55,1
THPTQG,2025,A00,01,01,CT2006,15.7,2
THPTQG,2025,A00,01,01,CT2006,15.75,1
THPTQG,2025,A00,01,01,CT2006,15.85,1
THPTQG,2025,A00,01,01,CT2006,15.9,1
THPTQG,2025,A00,01,01,CT2006,15.95,1
THPTQG,2025,A00,01,01,CT2006,16.05,1
THPTQG,2025,A00,01,01,CT2006,16.3,1
THPTQG,2025,A00,01,01,CT2006,16.45,2
THPTQG,2025,A00,01,01,CT2006,16.5,1
THPTQG,2025,A00,01,01,CT2006,16.65,1
THPTQG,2025,A00,01,01,CT2006,16.7,3
THPTQG,2025,A00,01,01,CT2006,16.75,1
THPTQG,2025,A00,01,01,CT2006,16.8,1
THPTQG,2025,A00,01,01,CT2006,17.05,1
THPTQG,2025,A00,01,01,CT2006,17.1,1
THPTQG,2025,A00,01,01,CT2006,17.25,1
THPTQG,2025,A00,01,01,CT2006,17.3,2
THPTQG,2025,A00,01,01,CT2006,17.35,1
THPTQG,2025,A00,01,01,CT2006,17.4,2
THPTQG,2025,A00,01,01,CT2006,17.6,2
THPTQG,2025,A00,01,01,CT2006,17.65,2
THPTQG,2025,A00,01,01,CT2006,17.7,1
THPTQG,2025,A00,01,01,CT2006,17.75,1
THPTQG,2025,A00,01,01,CT2006,17.8,1
THPTQG,2025,A00,01,01,CT2006,17.9,1
THPTQG,2025,A00,01,01,CT2006,17.95,1
THPTQG,2025,A00,01,01,CT2006,18.0,3
THPTQG,2025,A00,01,01,CT2006,18.1,1
THPTQG,2025,A00,01,01,CT2006,18.2,1
THPTQG,2025,A00,01,01,CT2006,18.25,1
THPTQG,2025,A00,01,01,CT2006,18.3,1
THPTQG,2025,A00,01,01,CT2006,18.35,1
THPTQG,2025,A00,01,01,CT2006,18.4,1
THPTQG,2025,A00,01,01,CT2006,18.55,4
THPTQG,2025,A00,01,01,CT2006,18.65,1
THPTQG,2025,A00,01,01,CT2006,18.7,1
THPTQG,2025,A00,01,01,CT2006,18.8,1
THPTQG,2025,A00,01,01,CT2006,18.85,1
THPTQG,2025,A00,01,01,CT2006,18.9,1
THPTQG,2025,A00,01,01,CT2006,18.95,2
THPTQG,2025,A00,01,01,CT2006,19.0,1
THPTQG,2025,A00,01,01,CT2006,19.05,4
THPTQG,2025,A00,01,01,CT2006,19.15,1
THPTQG,2025,A00,01,01,CT2006,19.25,3
THPTQG,2025,A00,01,01,CT2006,19.3,3
THPTQG,2025,A00,01,01,CT2006,19.35,2
THPTQG,2025,A00,01,01,CT2006,19.45,1
THPTQG,2025,A00,01,01,CT2006,19.5,3
THPTQG,2025,A00,01,01,CT2006,19.6,2
THPTQG,2025,A00,01,01,CT2006,19.65,2
THPTQG,2025,A00,01,01,CT2006,19.7,3
THPTQG,2025,A00,01,01,CT2006,19.75,1
THPTQG,2025,A00,01,01,CT2006,19.8,3
THPTQG,2025,A00,01,01,CT2006,19.85,1
THPTQG,2025,A00,01,01,CT2006,19.95,1
THPTQG,2025,A00,01,01,CT2006,20.15,1
THPTQG,2025,A00,01,01,CT2006,20.2,2
THPTQG,2025,A00,01,01,CT2006,20.35,1
