ky_thi,nam,to_hop,tinh,tinh_new,chuong_trinh,diem,count
THPTQG,2022,A00,01,01,,5.9,1
THPTQG,2022,A00,01,01,,6.25,1
THPTQG,2022,A00,01,01,,6.7,2
THPTQG,2022,A00,01,01,,6.75,2
THPTQG,2022,A00,01,01,,6.95,1
THPTQG,2022,A00,01,01,,7.05,1
THPTQG,2022,A00,01,01,,7.25,1
THPTQG,2022,A00,01,01,,7.35,2
THPTQG,2022,A00,01,01,,7.4,1
THPTQG,2022,A00,01,01,,7.45,1
THPTQG,2022,A00,01,01,,7.55,2
THPTQG,2022,A00,01,01,,7.65,1
THPTQG,2022,A00,01,01,,7.75,2
THPTQG,2022,A00,01,01,,7.8,1
THPTQG,2022,A00,01,01,,7.9,1
THPTQG,2022,A00,01,01,,7.95,2
THPTQG,2022,A00,01,01,,8.0,1
THPTQG,2022,A00,01,01,,8.1,1
THPTQG,2022,A00,01,01,,8.15,1
THPTQG,2022,A00,01,01,,8.2,1
THPTQG,2022,A00,01,01,,8.3,2
THPTQG,2022,A00,01,01,,8.35,1
THPTQG,2022,A00,01,01,,8.45,1
THPTQG,2022,A00,01,01,,8.5,1
THPTQG,2022,A00,01,01,,8.55,1
THPTQG,2022,A00,01,01,,8.7,1
THPTQG,2022,A00,01,01,,8.75,2
THPTQG,2022,A00,01,01,,9.05,1
THPTQG,2022,A00,01,01,,9.1,4
THPTQG,2022,A00,01,01,,9.15,2
THPTQG,2022,A00,01,01,,9.2,3
THPTQG,2022,A00,01,01,,9.25,2
THPTQG,2022,A00,01,01,,9.3,1
THPTQG,2022,A00,01,01,,9.35,2
THPTQG,2022,A00,01,01,,9.4,3
THPTQG,2022,A00,01,01,,9.45,1
THPTQG,2022,A00,01,01,,9.5,1
THPTQG,2022,A00,01,01,,9.55,4
THPTQG,2022,A00,01,01,,9.7,2
THPTQG,2022,A00,01,01,,9.75,1
THPTQG,2022,A00,01,01,,9.8,2
THPTQG,2022,A00,01,01,,9.85,3
THPTQG,2022,A00,01,01,,9.9,2
THPTQG,2022,A00,01,01,,9.95,1
THPTQG,2022,A00,01,01,,10.0,2
THPTQG,2022,A00,01,01,,10.05,2
THPTQG,2022,A00,01,01,,10.1,3
THPTQG,2022,A00,01,01,,10.2,1
THPTQG,2022,A00,01,01,,10.25,2
THPTQG,2022,A00,01,01,,10.3,2
THPTQG,2022,A00,01,01,,10.35,3
THPTQG,2022,A00,01,01,,10.4,2
THPTQG,2022,A00,01,01,,10.5,5
THPTQG,2022,A00,01,01,,10.55,2
THPTQG,2022,A00,01,01,,10.6,2
THPTQG,2022,A00,01,01,,10.65,4
THPTQG,2022,A00,01,01,,10.7,3
THPTQG,2022,A00,01,01,,10.75,3
THPTQG,2022,A00,01,01,,10.8,1
THPTQG,2022,A00,01,01,,10.85,3
THPTQG,2022,A00,01,01,,10.9,4
THPTQG,2022,A00,01,01,,10.95,2
THPTQG,2022,A00,01,01,,11.0,2
THPTQG,2022,A00,01,01,,11.05,2
THPTQG,2022,A00,01,01,,11.1,5
THPTQG,2022,A00,01,01,,11.15,5
THPTQG,2022,A00,01,01,,11.2,1
THPTQG,2022,A00,01,01,,11.25,4
THPTQG,2022,A00,01,01,,11.3,4
THPTQG,2022,A00,01,01,,11.35,4
THPTQG,2022,A00,01,01,,11.4,4
THPTQG,2022,A00,01,01,,11.45,7
THPTQG,2022,A00,01,01,,11.5,5
THPTQG,2022,A00,01,01,,11.55,2
THPTQG,2022,A00,01,01,,11.6,3
THPTQG,2022,A00,01,01,,11.65,4
THPTQG,2022,A00,01,01,,11.7,4
THPTQG,2022,A00,01,01,,11.75,7
THPTQG,2022,A00,01,01,,11.8,2
THPTQG,2022,A00,01,01,,11.85,9
THPTQG,2022,A00,01,01,,11.9,6
THPTQG,2022,A00,01,01,,11.95,8
THPTQG,2022,A00,01,01,,12.0,3
THPTQG,2022,A00,01,01,,12.05,6
THPTQG,2022,A00,01,01,,12.1,6
THPTQG,2022,A00,01,01,,12.15,12
THPTQG,2022,A00,01,01,,12.2,8
THPTQG,2022,A00,01,01,,12.25,7
THPTQG,2022,A00,01,01,,12.3,3
THPTQG,2022,A00,01,01,,12.35,11
THPTQG,2022,A00,01,01,,12.4,8
THPTQG,2022,A00,01,01,,12.45,8
THPTQG,2022,A00,01,01,,12.5,8
THPTQG,2022,A00,01,01,,12.55,10
THPTQG,2022,A00,01,01,,12.6,11
THPTQG,2022,A00,01,01,,12.65,13
THPTQG,2022,A00,01,01,,12.7,8
THPTQG,2022,A00,01,01,,12.75,11
THPTQG,2022,A00,01,01,,12.8,9
THPTQG,2022,A00,01,01,,12.85,12
THPTQG,2022,A00,01,01,,12.9,11
THPTQG,2022,A00,01,01,,12.95,12
THPTQG,2022,A00,01,01,,13.0,10
THPTQG,2022,A00,01,01,,13.05,13
THPTQG,2022,A00,01,01,,13.1,11
THPTQG,2022,A00,01,01,,13.15,17
THPTQG,2022,A00,01,01,,13.2,11
THPTQG,2022,A00,01,01,,13.25,14
THPTQG,2022,A00,01,01,,13.3,12
THPTQG,2022,A00,01,01,,13.35,12
THPTQG,2022,A00,01,01,,13.4,6
THPTQG,2022,A00,01,01,,13.45,21
THPTQG,2022,A00,01,01,,13.5,21
THPTQG,2022,A00,01,01,,13.55,13
THPTQG,2022,A00,01,01,,13.6,14
THPTQG,2022,A00,01,01,,13.65,14
THPTQG,2022,A00,01,01,,13.7,11
THPTQG,2022,A00,01,01,,13.75,20
THPTQG,2022,A00,01,01,,13.8,19
THPTQG,2022,A00,01,01,,13.85,15
THPTQG,2022,A00,01,01,,13.9,25
THPTQG,2022,A00,01,01,,13.95,19
THPTQG,2022,A00,01,01,,14.0,20
THPTQG,2022,A00,01,01,,14.05,26
THPTQG,2022,A00,01,01,,14.1,19
THPTQG,2022,A00,01,01,,14.15,16
THPTQG,2022,A00,01,01,,14.2,17
THPTQG,2022,A00,01,01,,14.25,21
THPTQG,2022,A00,01,01,,14.3,18
THPTQG,2022,A00,01,01,,14.35,21
THPTQG,2022,A00,01,01,,14.4,18
THPTQG,2022,A00,01,01,,14.45,22
